"WEEK_NUM","WEEK_START_DATE","DC_ID","BEER_STYLE","PRODUCT_COUNT","TOTAL_UNITS","TOTAL_REVENUE","TOTAL_COGS","TOTAL_GROSS_PROFIT","AVG_MARGIN_PCT","BARLEY_PRICE","HOPS_PRICE","AVG_BARLEY_USAGE","AVG_HOPS_USAGE","TOTAL_BARLEY_COST","TOTAL_HOPS_COST","AVG_UNIT_MARGIN","AVG_SELLING_PRICE","AVG_UNIT_COGS"
85,"2026-05-18","DC-SEA","PILSNER",1,24,3457.2,2117.04,1340.16,38.76,5.87,4.42,0.800,0.500,112.7,53.04,55.84,144.05,88.21
53,"2025-10-06","DC-SEA","PILSNER",1,21,3241.14,1875.09,1366.05,42.15,7.13,4.58,0.800,0.500,119.78,48.09,65.05,154.34,89.29
81,"2026-04-20","DC-DAL","ALE",1,23,3427.69,2161.08,1266.61,36.95,5.86,4.43,0.900,0.700,121.3,71.32,55.07,149.03,93.96
91,"2026-06-29","DC-DAL","IPA",1,47,2158.71,1308.48,850.23,39.39,7.5,4.69,0.950,1.400,334.88,308.6,18.09,45.93,27.84
82,"2026-04-27","DC-DAL","ALE",1,19,2831.57,1786.38,1045.19,36.91,5.89,4.48,0.900,0.700,100.72,59.58,55.01,149.03,94.02
16,"2025-01-20","DC-TOR","PILSNER",1,17,2498.83,1527.79,971.04,38.86,7.61,4.96,0.800,0.500,103.5,42.16,57.12,146.99,89.87
57,"2025-11-03","DC-DAL","ALE",1,17,2742.44,1585.59,1156.85,42.18,5.13,4.39,0.900,0.700,78.49,52.24,68.05,161.32,93.27
35,"2025-06-02","DC-ATL","STOUT",1,34,1362.38,941.8,420.58,30.87,7.56,4.07,1.200,0.350,308.45,48.43,12.37,40.07,27.7
44,"2025-08-04","DC-ATL","LAGER",1,18,619.02,422.28,196.74,31.78,7.48,4.3,0.850,0.550,114.44,42.57,10.93,34.39,23.46
34,"2025-05-26","DC-ATL","STOUT",1,37,1482.59,1030.08,452.51,30.52,7.7,4.01,1.200,0.350,341.88,51.93,12.23,40.07,27.84
88,"2026-06-08","DC-SEA","PILSNER",1,22,3169.1,1972.52,1196.58,37.76,7.55,4.63,0.800,0.500,132.88,50.93,54.39,144.05,89.66
79,"2026-04-06","DC-SEA","IPA",1,18,859.86,461.52,398.34,46.33,5.8,4.27,0.950,1.400,99.18,107.6,22.13,47.77,25.64
4,"2024-10-28","DC-SEA","PILSNER",1,17,2448.85,1515.72,933.13,38.1,6.97,4.57,0.800,0.500,94.79,38.85,54.89,144.05,89.16
104,"2026-09-28","DC-DAL","ALE",1,17,2690.25,1587.8,1102.45,40.98,5.19,4.5,0.900,0.700,79.41,53.55,64.85,158.25,93.4
67,"2026-01-12","DC-ATL","STOUT",1,22,916.96,558.8,358.16,39.06,5.64,4.09,1.200,0.350,148.9,31.49,16.28,41.68,25.4
42,"2025-07-21","DC-SEA","PILSNER",1,26,3974.62,2327,1647.62,41.45,7.51,4.38,0.800,0.500,156.21,56.94,63.37,152.87,89.5
49,"2025-09-08","DC-NYC","IPA",1,34,1639.82,1015.24,624.58,38.09,7.08,6.42,0.950,1.400,228.68,305.59,18.37,48.23,29.86
102,"2026-09-14","DC-SEA","IPA",1,23,1024.65,582.59,442.06,43.14,5.2,4.46,0.950,1.400,113.62,143.61,19.22,44.55,25.33
15,"2025-01-13","DC-ATL","LAGER",1,11,356.62,263.23,93.39,26.19,7.54,5.06,0.850,0.550,70.5,30.61,8.49,32.42,23.93
92,"2026-07-06","DC-SEA","IPA",1,24,1113.36,646.56,466.8,41.93,7.3,4.18,0.950,1.400,166.44,140.45,19.45,46.39,26.94
88,"2026-06-08","DC-TOR","PILSNER",1,26,3936.4,2331.16,1605.24,40.78,7.55,4.63,0.800,0.500,157.04,60.19,61.74,151.40,89.66
60,"2025-11-24","DC-ATL","LAGER",1,12,408.72,260.64,148.08,36.23,5.33,4.46,0.850,0.550,54.37,29.44,12.34,34.06,21.72
71,"2026-02-09","DC-DAL","ALE",1,16,2532,1494.72,1037.28,40.97,5.65,3.93,0.900,0.700,81.36,44.02,64.83,158.25,93.42
28,"2025-04-14","DC-DAL","ALE",1,20,3103.6,1922.8,1180.8,38.05,7.98,4.83,0.900,0.700,143.64,67.62,59.04,155.18,96.14
1,"2024-10-07","DC-SEA","PILSNER",1,20,2998.6,1780.6,1218,40.62,6.91,4.41,0.800,0.500,110.56,44.1,60.9,149.93,89.03
71,"2026-02-09","DC-ATL","LAGER",1,12,400.92,260.4,140.52,35.05,5.65,3.93,0.850,0.550,57.63,25.94,11.71,33.41,21.7
45,"2025-08-11","DC-SEA","IPA",1,24,1102.32,660,442.32,40.13,7.42,4.5,0.950,1.400,169.18,151.2,18.43,45.93,27.5
77,"2026-03-23","DC-SEA","PILSNER",1,16,2422.4,1410.4,1012,41.78,5.86,4.33,0.800,0.500,75.01,34.64,63.25,151.40,88.15
78,"2026-03-30","DC-ATL","STOUT",1,28,1189.72,720.44,469.28,39.44,5.82,4.43,1.200,0.350,195.55,43.41,16.76,42.49,25.73
14,"2025-01-06","DC-DAL","ALE",1,14,2237.06,1340.78,896.28,40.07,7.39,5.05,0.900,0.700,93.11,49.49,64.02,159.79,95.77
88,"2026-06-08","DC-SEA","IPA",1,20,927.8,556,371.8,40.07,7.55,4.63,0.950,1.400,143.45,129.64,18.59,46.39,27.8
41,"2025-07-14","DC-DAL","IPA",1,48,2270.88,1304.16,966.72,42.57,7.5,4.21,0.950,1.400,342,282.91,20.14,47.31,27.17
80,"2026-04-13","DC-ATL","STOUT",1,35,1374.1,907.2,466.9,33.98,5.97,4.46,1.200,0.350,250.74,54.64,13.34,39.26,25.92
37,"2025-06-16","DC-ATL","LAGER",1,19,628.52,443.08,185.44,29.5,7.46,4.07,0.850,0.550,120.48,42.53,9.76,33.08,23.32
10,"2024-12-09","DC-SEA","PILSNER",1,15,2315.1,1346.1,969,41.86,7.22,5.33,0.800,0.500,86.64,39.98,64.6,154.34,89.74
33,"2025-05-19","DC-DAL","IPA",1,36,1719.72,1004.04,715.68,41.62,7.79,4.53,0.950,1.400,266.42,228.31,19.88,47.77,27.89
66,"2026-01-05","DC-ATL","STOUT",1,22,925.98,553.08,372.9,40.27,5.43,4.08,1.200,0.350,143.35,31.42,16.95,42.09,25.14
99,"2026-08-24","DC-SEA","IPA",1,19,881.41,517.56,363.85,41.28,7.09,4.54,0.950,1.400,127.97,120.76,19.15,46.39,27.24
43,"2025-07-28","DC-DAL","IPA",1,41,1920.85,1115.2,805.65,41.94,7.37,4.32,0.950,1.400,287.06,247.97,19.65,46.85,27.2
9,"2024-12-02","DC-ATL","LAGER",1,11,371.03,259.82,111.21,29.97,7.06,5.24,0.850,0.550,66.01,31.7,10.11,33.73,23.62
87,"2026-06-01","DC-NYC","IPA",1,36,1670.04,1000.08,669.96,40.12,7.69,4.52,0.950,1.400,263,227.81,18.61,46.39,27.78
69,"2026-01-26","DC-NYC","IPA",1,25,1125.25,635.5,489.75,43.52,5.78,4.13,0.950,1.400,137.28,144.55,19.59,45.01,25.42
50,"2025-09-15","DC-DAL","ALE",1,17,2742.44,1640.84,1101.6,40.17,7.16,6.42,0.900,0.700,109.55,76.4,64.8,161.32,96.52
41,"2025-07-14","DC-SEA","PILSNER",1,27,3889.35,2414.07,1475.28,37.93,7.5,4.21,0.800,0.500,162,56.84,54.64,144.05,89.41
102,"2026-09-14","DC-ATL","LAGER",1,16,513.6,345.76,167.84,32.68,5.2,4.46,0.850,0.550,70.72,39.25,10.49,32.10,21.61
17,"2025-01-27","DC-DAL","IPA",1,29,1305.29,820.99,484.3,37.1,7.68,4.9,0.950,1.400,211.58,198.94,16.7,45.01,28.31
18,"2025-02-03","DC-DAL","ALE",1,13,2077.27,1246.05,831.22,40.02,7.64,4.85,0.900,0.700,89.39,44.14,63.94,159.79,95.85
79,"2026-04-06","DC-DAL","IPA",1,33,1515.69,846.12,669.57,44.18,5.8,4.27,0.950,1.400,181.83,197.27,20.29,45.93,25.64
51,"2025-09-22","DC-DAL","IPA",1,33,1470.15,994.29,475.86,32.37,7.14,6.57,0.950,1.400,223.84,303.53,14.42,44.55,30.13
33,"2025-05-19","DC-ATL","LAGER",1,15,481.5,357.75,123.75,25.7,7.79,4.53,0.850,0.550,99.32,37.37,8.25,32.10,23.85
27,"2025-04-07","DC-DAL","IPA",1,33,1591.59,935.55,656.04,41.22,8.05,4.68,0.950,1.400,252.37,216.22,19.88,48.23,28.35
90,"2026-06-22","DC-DAL","IPA",1,48,2138.4,1339.2,799.2,37.37,7.47,4.75,0.950,1.400,340.63,319.2,16.65,44.55,27.9
89,"2026-06-15","DC-DAL","IPA",1,42,1987.02,1168.44,818.58,41.2,7.67,4.56,0.950,1.400,306.03,268.13,19.49,47.31,27.82
64,"2025-12-22","DC-DAL","IPA",1,29,1291.95,734.28,557.67,43.16,5.47,4.27,0.950,1.400,150.7,173.36,19.23,44.55,25.32
58,"2025-11-10","DC-ATL","STOUT",1,24,980.88,598.08,382.8,39.03,5.16,4.36,1.200,0.350,148.61,36.62,15.95,40.87,24.92
55,"2025-10-20","DC-ATL","STOUT",1,24,951.84,655.92,295.92,31.09,7.12,4.52,1.200,0.350,205.06,37.97,12.33,39.66,27.33
23,"2025-03-10","DC-DAL","IPA",1,32,1513.92,911.68,602.24,39.78,7.96,4.84,0.950,1.400,241.98,216.83,18.82,47.31,28.49
26,"2025-03-31","DC-SEA","PILSNER",1,20,2881,1800.8,1080.2,37.49,7.95,4.75,0.800,0.500,127.2,47.5,54.01,144.05,90.04
17,"2025-01-27","DC-NYC","IPA",1,23,1056.39,651.13,405.26,38.36,7.68,4.9,0.950,1.400,167.81,157.78,17.62,45.93,28.31
50,"2025-09-15","DC-DAL","IPA",1,32,1528.64,958.08,570.56,37.32,7.16,6.42,0.950,1.400,217.66,287.62,17.83,47.77,29.94
3,"2024-10-21","DC-ATL","STOUT",1,26,1062.62,704.6,358.02,33.69,6.97,4.38,1.200,0.350,217.46,39.86,13.77,40.87,27.1
22,"2025-03-03","DC-DAL","ALE",1,16,2384.48,1536.96,847.52,35.54,7.86,4.86,0.900,0.700,113.18,54.43,52.97,149.03,96.06
41,"2025-07-14","DC-ATL","STOUT",1,35,1430.45,968.45,462,32.3,7.5,4.21,1.200,0.350,315,51.57,13.2,40.87,27.67
88,"2026-06-08","DC-ATL","LAGER",1,18,571.86,426.6,145.26,25.4,7.55,4.63,0.850,0.550,115.51,45.84,8.07,31.77,23.7
14,"2025-01-06","DC-TOR","PILSNER",1,16,2422.4,1435.84,986.56,40.73,7.39,5.05,0.800,0.500,94.59,40.4,61.66,151.40,89.74
40,"2025-07-07","DC-SEA","PILSNER",1,26,4012.84,2324.66,1688.18,42.07,7.53,4.18,0.800,0.500,156.62,54.34,64.93,154.34,89.41
95,"2026-07-27","DC-TOR","PILSNER",1,28,4280.36,2498.44,1781.92,41.63,7.25,4.26,0.800,0.500,162.4,59.64,63.64,152.87,89.23
73,"2026-02-23","DC-TOR","PILSNER",1,18,2751.66,1583.46,1168.2,42.45,5.89,3.92,0.800,0.500,84.82,35.28,64.9,152.87,87.97
59,"2025-11-17","DC-ATL","STOUT",1,26,1020.76,653.38,367.38,35.99,5.3,4.49,1.200,0.350,165.36,40.86,14.13,39.26,25.13
16,"2025-01-20","DC-DAL","IPA",1,27,1277.37,764.64,512.73,40.14,7.61,4.96,0.950,1.400,195.2,187.49,18.99,47.31,28.32
36,"2025-06-09","DC-SEA","PILSNER",1,22,3169.1,1965.92,1203.18,37.97,7.58,3.99,0.800,0.500,133.41,43.89,54.69,144.05,89.36
60,"2025-11-24","DC-SEA","PILSNER",1,16,2469.44,1404.64,1064.8,43.12,5.33,4.46,0.800,0.500,68.22,35.68,66.55,154.34,87.79
20,"2025-02-17","DC-DAL","ALE",1,15,2419.8,1439.85,979.95,40.5,7.75,4.91,0.900,0.700,104.63,51.56,65.33,161.32,95.99
16,"2025-01-20","DC-SEA","PILSNER",1,15,2204.85,1348.05,856.8,38.86,7.61,4.96,0.800,0.500,91.32,37.2,57.12,146.99,89.87
52,"2025-09-29","DC-ATL","LAGER",1,16,524,391.52,132.48,25.28,7.25,6.49,0.850,0.550,98.6,57.11,8.28,32.75,24.47
58,"2025-11-10","DC-DAL","ALE",1,14,2150.96,1305.92,845.04,39.29,5.16,4.36,0.900,0.700,65.02,42.73,60.36,153.64,93.28
64,"2025-12-22","DC-ATL","LAGER",1,12,393,260.88,132.12,33.62,5.47,4.27,0.850,0.550,55.79,28.18,11.01,32.75,21.74
86,"2026-05-25","DC-SEA","IPA",1,21,964.53,540.33,424.2,43.98,5.63,4.45,0.950,1.400,112.32,130.83,20.2,45.93,25.73
91,"2026-06-29","DC-NYC","IPA",1,36,1603.8,1002.24,601.56,37.51,7.5,4.69,0.950,1.400,256.5,236.38,16.71,44.55,27.84
48,"2025-09-01","DC-ATL","LAGER",1,15,496.2,367.5,128.7,25.94,7.24,6.56,0.850,0.550,92.31,54.12,8.58,33.08,24.5
24,"2025-03-17","DC-ATL","STOUT",1,24,942.24,682.08,260.16,27.61,7.97,4.74,1.200,0.350,229.54,39.82,10.84,39.26,28.42
82,"2026-04-27","DC-DAL","BEER",42,1188,41676.46,28104.26,13572.2,32.07,5.89,4.48,0.872,0.634,6102.45,3338.09,11.33,34.99,23.66
80,"2026-04-13","DC-CHI","BEER",45,1490,52475.91,35488.35,16987.56,32.11,5.97,4.46,0.896,0.642,7968.99,4275.89,11.38,35.14,23.76
31,"2025-05-05","DC-TOR","BEER",42,830,29000.59,20978.32,8022.27,27.35,7.76,4.49,0.875,0.668,5593.8,2468.42,9.66,35.01,25.35
8,"2024-11-25","DC-NYC","BEER",42,1158,40378.93,29308.03,11070.9,27.16,7.19,5.38,0.875,0.640,7292.96,3950.53,9.55,34.92,25.36
89,"2026-06-15","DC-ATL","BEER",38,1293,45616.65,32624.25,12992.4,28.2,7.67,4.56,0.859,0.628,8491.46,3664.37,10.09,35.39,25.29
89,"2026-06-15","DC-CHI","BEER",45,1661,58375,42210.37,16164.63,27.5,7.67,4.56,0.896,0.642,11426.69,4869.3,9.76,35.11,25.35
68,"2026-01-19","DC-CHI","BEER",45,1052,36958.02,24489.83,12468.19,33.6,5.66,4.05,0.896,0.642,5337.55,2743.83,11.87,35.09,23.22
28,"2025-04-14","DC-NYC","BEER",42,1565,54488.47,40133.3,14355.17,25.95,7.98,4.83,0.875,0.640,10958.85,4779.57,9.12,34.83,25.71
36,"2025-06-09","DC-ATL","BEER",38,1230,43222.83,30519.04,12703.79,29.08,7.58,3.99,0.859,0.628,7977.95,3043.93,10.37,35.23,24.86
92,"2026-07-06","DC-SEA","BEER",48,1140,39976.05,28375.12,11600.93,28.99,7.3,4.18,0.882,0.638,7361.17,3036.44,10.28,35.22,24.94
73,"2026-02-23","DC-SEA","BEER",48,803,28412.86,18832.3,9580.56,33.53,5.89,3.92,0.882,0.638,4184.14,2000.14,11.98,35.50,23.53
21,"2025-02-24","DC-TOR","BEER",42,633,22138.77,16164.85,5973.92,26.42,7.82,4.84,0.875,0.668,4303.03,2027.67,9.37,35.00,25.63
25,"2025-03-24","DC-CHI","BEER",45,1278,44757.23,33101.19,11656.04,25.87,8,4.85,0.896,0.642,9169.2,3985.1,9.14,34.97,25.83
91,"2026-06-29","DC-NYC","BEER",42,1894,65899.95,47630.69,18269.26,27.36,7.5,4.69,0.875,0.640,12459,5624.9,9.57,34.77,25.19
57,"2025-11-03","DC-SEA","BEER",48,808,28581.63,18656.2,9925.43,34.31,5.13,4.39,0.882,0.638,3669.03,2258.22,12.24,35.40,23.16
15,"2025-01-13","DC-TOR","BEER",42,538,18817.35,13676.44,5140.91,26.78,7.54,5.06,0.875,0.668,3520.43,1801.51,9.45,34.99,25.53
92,"2026-07-06","DC-NYC","BEER",42,1980,69119.01,48770.97,20348.04,29.06,7.3,4.18,0.875,0.640,12695.8,5258.4,10.22,34.91,24.69
4,"2024-10-28","DC-NYC","BEER",42,1312,45670.05,32230.56,13439.49,28.95,6.97,4.57,0.875,0.640,8015.08,3795.2,10.13,34.78,24.65
63,"2025-12-15","DC-NYC","BEER",42,1200,41540.24,27620.1,13920.14,33.09,5.37,4.3,0.875,0.640,5645.91,3264.99,11.52,34.60,23.08
21,"2025-02-24","DC-DAL","BEER",42,899,31500.9,22968.68,8532.22,26.52,7.82,4.84,0.872,0.634,6127.99,2717.32,9.42,35.00,25.58
84,"2026-05-11","DC-DAL","BEER",42,1290,45145.27,30328.61,14816.66,32.38,5.74,4.47,0.872,0.634,6452.91,3607.6,11.43,34.96,23.53
30,"2025-04-28","DC-NYC","BEER",42,1645,56828.73,41957.25,14871.48,25.81,7.83,4.83,0.875,0.640,11281.86,5057.15,8.98,34.55,25.57
97,"2026-08-10","DC-CHI","BEER",45,1516,53048.29,37515.19,15533.1,29.13,7,4.45,0.896,0.642,9522.45,4346,10.27,34.95,24.68
5,"2024-11-04","DC-SEA","BEER",48,762,26891.76,18958.29,7933.47,29.24,7.1,4.46,0.882,0.638,4788.59,2160.25,10.4,35.34,24.94
26,"2025-03-31","DC-ATL","BEER",38,982,34658.33,25161.09,9497.24,26.99,7.95,4.75,0.859,0.628,6688.34,2903.15,9.62,35.27,25.65
17,"2025-01-27","DC-NYC","BEER",42,1144,40071.64,29095.97,10975.67,27,7.68,4.9,0.875,0.640,7703.65,3545.98,9.51,35.00,25.49
27,"2025-04-07","DC-DAL","BEER",42,1072,37522.4,27493.62,10028.78,25.99,8.05,4.68,0.872,0.634,7526.75,3145.66,9.2,34.88,25.67
28,"2025-04-14","DC-CHI","BEER",45,1383,48487.01,35783.37,12703.64,26.07,7.98,4.83,0.896,0.642,9885.3,4290.3,9.24,35.04,25.8
79,"2026-04-06","DC-CHI","BEER",45,1447,50529.59,34088.52,16441.07,32.43,5.8,4.27,0.896,0.642,7528.46,3976.1,11.42,34.91,23.49
26,"2025-03-31","DC-DAL","BEER",42,1029,35816.5,26347.8,9468.7,25.72,7.95,4.75,0.872,0.634,7139.97,3062.99,9.03,34.66,25.63
58,"2025-11-10","DC-CHI","BEER",45,1154,40308.43,26596,13712.43,33.89,5.16,4.36,0.896,0.642,5344.88,3228.62,11.95,34.91,22.97
87,"2026-06-01","DC-NYC","BEER",42,1844,64654.82,46494.7,18160.12,27.85,7.69,4.52,0.875,0.640,12460.26,5286.37,9.84,35.09,25.25
66,"2026-01-05","DC-TOR","BEER",42,578,20321.08,13277.93,7043.15,34.21,5.43,4.08,0.875,0.668,2727.54,1562.15,12.11,35.15,23.03
22,"2025-03-03","DC-DAL","BEER",42,929,32530.8,23800.39,8730.41,26.3,7.86,4.86,0.872,0.634,6368.8,2827.26,9.3,34.92,25.62
90,"2026-06-22","DC-TOR","BEER",42,940,33051.39,23657.24,9394.15,27.94,7.47,4.75,0.875,0.668,6103.14,2944.86,9.92,35.19,25.27
46,"2025-08-18","DC-SEA","BEER",48,1002,35494.35,26278.86,9215.49,25.61,7.2,6.45,0.882,0.638,6374.74,4102.52,9.16,35.46,26.3
64,"2025-12-22","DC-CHI","BEER",45,1037,36304.2,24102.02,12202.18,33.4,5.47,4.27,0.896,0.642,5083.82,2848.22,11.81,35.00,23.19
88,"2026-06-08","DC-TOR","BEER",42,933,32340.49,23466.2,8874.29,26.88,7.55,4.63,0.875,0.668,6119.58,2853.61,9.42,34.68,25.26
45,"2025-08-11","DC-TOR","BEER",42,908,32042.36,22683.39,9358.97,28.69,7.42,4.5,0.875,0.668,5863.58,2696.45,10.23,35.29,25.06
75,"2026-03-09","DC-NYC","BEER",42,1363,47376.84,31993.92,15382.92,32.08,5.84,4.39,0.875,0.640,6967.18,3786.42,11.23,34.78,23.55
32,"2025-05-12","DC-DAL","BEER",42,1191,41658.82,30304.64,11354.18,26.82,7.82,4.63,0.872,0.634,8128.89,3452.5,9.49,34.94,25.44
43,"2025-07-28","DC-SEA","BEER",48,1101,38963.95,27549.56,11414.39,28.99,7.37,4.32,0.882,0.638,7169.61,3025.43,10.37,35.45,25.09
79,"2026-04-06","DC-TOR","BEER",42,764,26932.95,17880.4,9052.55,33.05,5.8,4.27,0.875,0.668,3848.76,2162.84,11.76,35.25,23.49
33,"2025-05-19","DC-ATL","BEER",38,1142,39982.18,28941.26,11040.92,27.26,7.79,4.53,0.859,0.628,7627.66,3205.34,9.65,35.03,25.38
19,"2025-02-10","DC-SEA","BEER",48,711,25253.28,18336.73,6916.55,27.11,7.82,4.87,0.882,0.638,4920.11,2197.88,9.72,35.55,25.84
29,"2025-04-21","DC-DAL","BEER",42,1139,39831.61,29224.24,10607.37,26.04,7.9,4.88,0.872,0.634,7844.23,3479.05,9.2,34.87,25.67
76,"2026-03-16","DC-TOR","BEER",42,709,24709.58,16741.29,7968.29,31.93,5.93,4.43,0.875,0.668,3652.05,2074.61,11.23,34.94,23.71
29,"2025-04-21","DC-TOR","BEER",42,793,27676.07,20333.66,7342.41,25.99,7.9,4.88,0.875,0.668,5448.24,2552.73,9.17,34.90,25.73
4,"2024-10-28","DC-CHI","BEER",45,1136,39738.68,28178.86,11559.82,28.92,6.97,4.57,0.896,0.642,7091.35,3335,10.18,34.91,24.73
33,"2025-05-19","DC-SEA","BEER",48,1056,37348.16,26952.08,10396.08,27.39,7.79,4.53,0.882,0.638,7269.63,3035.64,9.77,35.36,25.59
40,"2025-07-07","DC-TOR","BEER",42,950,33387.71,23601.85,9785.86,28.78,7.53,4.18,0.875,0.668,6220.31,2627.38,10.25,35.19,24.94
20,"2025-02-17","DC-NYC","BEER",42,1238,42655.16,31558.86,11096.3,25.68,7.75,4.91,0.875,0.640,8400.92,3860.44,8.91,34.46,25.55
84,"2026-05-11","DC-ATL","BEER",38,1211,42401.24,28516.8,13884.44,32.4,5.74,4.47,0.859,0.628,5957.89,3342.53,11.43,35.01,23.58
68,"2026-01-19","DC-SEA","BEER",48,705,24854.67,16463.77,8390.9,33.67,5.66,4.05,0.882,0.638,3529.8,1810.59,12.01,35.42,23.41
88,"2026-06-08","DC-DAL","BEER",42,1272,44615.49,32040.09,12575.4,27.55,7.55,4.63,0.872,0.634,8379.44,3692.89,9.76,34.97,25.21
21,"2025-02-24","DC-SEA","BEER",48,762,26909.47,19619.8,7289.67,26.61,7.82,4.84,0.882,0.638,5266.07,2345.22,9.48,35.29,25.82
51,"2025-09-22","DC-NYC","BEER",42,1548,54573.91,40257.39,14316.52,25.64,7.14,6.57,0.875,0.640,9671.42,6437.75,9.12,35.20,26.08
