"WEEK_NUM","WEEK_START_DATE","ROUTE_ID","ROUTE_DESCRIPTION","ORIGIN_ID","DESTINATION_ID","MATERIAL_TYPE","TRANSPORT_MODE","BASELINE_LEAD_DAYS","ORIGIN_LAT","ORIGIN_LON","DEST_LAT","DEST_LON","ACTUAL_LEAD_DAYS","DISRUPTION_FACTOR","SHIPMENT_QTY_TONS","FREIGHT_COST_PER_TON","IS_DISRUPTED","PRIMARY_DISRUPTION_EVENT","ROUTE_RISK_SCORE"
40,"2025-07-07","RT-B04","Chicago Brewery to Chicago DC","BRW-02","DC-CHI","FINISHED","TRUCK",1,41.8881,-87.6298,41.8525,-87.6514,1,0.15,14.1,134.4,false,"Black Sea Grain Corridor Collapse",24
87,"2026-06-01","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,4,0.06,18.5,119.47,false,"\N",16
83,"2026-05-04","RT-D02","NYC DC to Philadelphia Dist.","DC-NYC","DST-PHL","FINISHED","TRUCK",1,40.6501,-74.0139,39.9526,-75.1652,1,0,28,107,false,"\N",4
11,"2024-12-16","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,1,0,16,74,false,"\N",6
27,"2025-04-07","RT-S03","Barley: Idaho to Portland Brewery","SUP-ID","BRW-03","BARLEY","TRUCK",2,43.6150,-116.2023,45.5152,-122.6784,2,0.125,26.6,79.2,false,"\N",20
43,"2025-07-28","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,13,96,false,"\N",6
30,"2025-04-28","RT-S05","Hops: Yakima to Brooklyn Brewery","SUP-WA","BRW-01","HOPS","TRUCK",7,46.6021,-120.5059,40.6782,-73.9442,7,0,11,112,false,"\N",5
76,"2026-03-16","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,4,0,19,77,false,"\N",2
52,"2025-09-29","RT-B04","Chicago Brewery to Chicago DC","BRW-02","DC-CHI","FINISHED","TRUCK",1,41.8881,-87.6298,41.8525,-87.6514,1,0.15,20.7,115.36,false,"Black Sea Grain Corridor Collapse",18
25,"2025-03-24","RT-S05","Hops: Yakima to Brooklyn Brewery","SUP-WA","BRW-01","HOPS","TRUCK",7,46.6021,-120.5059,40.6782,-73.9442,7,0,29,107,false,"\N",4
60,"2025-11-24","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,1,0,25,119,false,"\N",3
67,"2026-01-12","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,19,106,false,"\N",9
68,"2026-01-19","RT-S07","Hops: Yakima to Portland Brewery","SUP-WA","BRW-03","HOPS","TRUCK",1,46.6021,-120.5059,45.5152,-122.6784,1,0,10,86,false,"\N",7
61,"2025-12-01","RT-S07","Hops: Yakima to Portland Brewery","SUP-WA","BRW-03","HOPS","TRUCK",1,46.6021,-120.5059,45.5152,-122.6784,2,0,15,84,false,"\N",0
3,"2024-10-21","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,18,126,false,"\N",8
10,"2024-12-09","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,1,0,25,74,false,"\N",0
15,"2025-01-13","RT-B01","Brooklyn Brewery to NYC DC","BRW-01","DC-NYC","FINISHED","TRUCK",1,40.6782,-73.9442,40.6501,-74.0139,2,0.3,11.4,140.12,true,"Ukraine-Russia War - Grain Export Disruption",37
22,"2025-03-03","RT-D11","Dallas DC to Phoenix Dist.","DC-DAL","DST-PHX","FINISHED","TRUCK",2,32.7767,-96.7970,33.4484,-112.0740,2,0,16,130,false,"\N",0
34,"2025-05-26","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,3,0.25,14.4,138,true,"Ukraine-Russia War - Grain Export Disruption",40
84,"2026-05-11","RT-D07","Chicago DC to Minneapolis Dist.","DC-CHI","DST-MSP","FINISHED","TRUCK",1,41.8525,-87.6514,44.9778,-93.2650,2,0,20,85,false,"\N",4
23,"2025-03-10","RT-D14","Seattle DC to LA Dist.","DC-SEA","DST-LAX","FINISHED","TRUCK",3,47.6062,-122.3321,34.0522,-118.2437,4,0,21,105,false,"\N",10
26,"2025-03-31","RT-S07","Hops: Yakima to Portland Brewery","SUP-WA","BRW-03","HOPS","TRUCK",1,46.6021,-120.5059,45.5152,-122.6784,1,0,26,72,false,"\N",2
74,"2026-03-02","RT-B03","Brooklyn Brewery to Toronto DC","BRW-01","DC-TOR","FINISHED","TRUCK",2,40.6782,-73.9442,43.6532,-79.3832,3,0.18,27.8,123.55,true,"EU Export Controls on Hop Extracts",32
28,"2025-04-14","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,1,0,15,74,false,"\N",0
80,"2026-04-13","RT-S07","Hops: Yakima to Portland Brewery","SUP-WA","BRW-03","HOPS","TRUCK",1,46.6021,-120.5059,45.5152,-122.6784,2,0,17,108,false,"\N",7
40,"2025-07-07","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,4,0.15,22.6,80.64,false,"Black Sea Grain Corridor Collapse",19
50,"2025-09-15","RT-B04","Chicago Brewery to Chicago DC","BRW-02","DC-CHI","FINISHED","TRUCK",1,41.8881,-87.6298,41.8525,-87.6514,1,0.15,20.7,118.72,false,"Black Sea Grain Corridor Collapse",25
36,"2025-06-09","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,20,122,false,"\N",2
27,"2025-04-07","RT-D10","Dallas DC to Denver Dist.","DC-DAL","DST-DEN","FINISHED","TRUCK",2,32.7767,-96.7970,39.7392,-104.9903,2,0,18,90,false,"\N",10
87,"2026-06-01","RT-D03","Atlanta DC to Miami Dist.","DC-ATL","DST-MIA","FINISHED","TRUCK",2,33.7537,-84.3863,25.7617,-80.1918,2,0,13,116,false,"\N",3
30,"2025-04-28","RT-D13","Seattle DC to SF Dist.","DC-SEA","DST-SFO","FINISHED","TRUCK",2,47.6062,-122.3321,37.7749,-122.4194,3,0,14,94,false,"\N",7
22,"2025-03-03","RT-S05","Hops: Yakima to Brooklyn Brewery","SUP-WA","BRW-01","HOPS","TRUCK",7,46.6021,-120.5059,40.6782,-73.9442,7,0,18,92,false,"\N",8
40,"2025-07-07","RT-B06","Portland Brewery to Seattle DC","BRW-03","DC-SEA","FINISHED","TRUCK",1,45.5152,-122.6784,47.6062,-122.3321,1,0.15,16.9,117.6,false,"Black Sea Grain Corridor Collapse",26
92,"2026-07-06","RT-D05","Atlanta DC to Nashville Dist.","DC-ATL","DST-NSH","FINISHED","TRUCK",1,33.7537,-84.3863,36.1627,-86.7816,1,0,15,118,false,"\N",8
62,"2025-12-08","RT-D06","Chicago DC to Detroit Dist.","DC-CHI","DST-DET","FINISHED","TRUCK",1,41.8525,-87.6514,42.3314,-83.0458,1,0,14,101,false,"\N",0
104,"2026-09-28","RT-D08","Chicago DC to St.Louis Dist.","DC-CHI","DST-STL","FINISHED","TRUCK",1,41.8525,-87.6514,38.6270,-90.1994,1,0,10,101,false,"\N",10
101,"2026-09-07","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,2,0,24,105,false,"\N",4
104,"2026-09-28","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,3,0,11,98,false,"\N",4
6,"2024-11-11","RT-B06","Portland Brewery to Seattle DC","BRW-03","DC-SEA","FINISHED","TRUCK",1,45.5152,-122.6784,47.6062,-122.3321,1,0.25,13.5,122.4,true,"Ukraine-Russia War - Grain Export Disruption",33
13,"2024-12-30","RT-S06","Hops: Yakima to Chicago Brewery","SUP-WA","BRW-02","HOPS","TRUCK",5,46.6021,-120.5059,41.8881,-87.6298,5,0,27,93,false,"\N",7
15,"2025-01-13","RT-B02","Brooklyn Brewery to Atlanta DC","BRW-01","DC-ATL","FINISHED","TRUCK",3,40.6782,-73.9442,33.7537,-84.3863,5,0.25,26.1,135.6,true,"Ukraine-Russia War - Grain Export Disruption",40
15,"2025-01-13","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,5,0.25,20.7,100.8,true,"Ukraine-Russia War - Grain Export Disruption",38
21,"2025-02-24","RT-D10","Dallas DC to Denver Dist.","DC-DAL","DST-DEN","FINISHED","TRUCK",2,32.7767,-96.7970,39.7392,-104.9903,2,0,23,118,false,"\N",5
48,"2025-09-01","RT-D08","Chicago DC to St.Louis Dist.","DC-CHI","DST-STL","FINISHED","TRUCK",1,41.8525,-87.6514,38.6270,-90.1994,2,0,24,104,false,"\N",4
48,"2025-09-01","RT-D02","NYC DC to Philadelphia Dist.","DC-NYC","DST-PHL","FINISHED","TRUCK",1,40.6501,-74.0139,39.9526,-75.1652,1,0,23,121,false,"\N",0
14,"2025-01-06","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,17,129,false,"\N",8
31,"2025-05-05","RT-S01","Barley: Montana to Brooklyn Brewery","SUP-MT","BRW-01","BARLEY","RAIL",5,47.5063,-111.2813,40.6782,-73.9442,7,0.125,17.1,134.2,false,"\N",17
37,"2025-06-16","RT-D11","Dallas DC to Phoenix Dist.","DC-DAL","DST-PHX","FINISHED","TRUCK",2,32.7767,-96.7970,33.4484,-112.0740,3,0,14,119,false,"\N",1
41,"2025-07-14","RT-S04","Barley: Saskatchewan to Brooklyn","SUP-SK","BRW-01","BARLEY","RAIL",6,50.4452,-104.6189,40.6782,-73.9442,7,0.075,26.2,85.86,false,"\N",13
29,"2025-04-21","RT-B01","Brooklyn Brewery to NYC DC","BRW-01","DC-NYC","FINISHED","TRUCK",1,40.6782,-73.9442,40.6501,-74.0139,1,0.3,22.9,131.44,true,"Ukraine-Russia War - Grain Export Disruption",44
42,"2025-07-21","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,4,0.15,16,127.68,false,"Black Sea Grain Corridor Collapse",26
45,"2025-08-11","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,1,0,30,124,false,"\N",7
82,"2026-04-27","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,4,0,21,111,false,"\N",8
44,"2025-08-04","RT-S06","Hops: Yakima to Chicago Brewery","SUP-WA","BRW-02","HOPS","TRUCK",5,46.6021,-120.5059,41.8881,-87.6298,5,0,18,99,false,"\N",3
19,"2025-02-10","RT-B01","Brooklyn Brewery to NYC DC","BRW-01","DC-NYC","FINISHED","TRUCK",1,40.6782,-73.9442,40.6501,-74.0139,1,0.3,25.5,161.2,true,"Ukraine-Russia War - Grain Export Disruption",45
81,"2026-04-20","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,2,0,10,73,false,"\N",9
44,"2025-08-04","RT-D09","Dallas DC to Houston Dist.","DC-DAL","DST-HOU","FINISHED","TRUCK",1,32.7767,-96.7970,29.7604,-95.3698,1,0,16,107,false,"\N",10
85,"2026-05-18","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,1,0,24,90,false,"\N",0
97,"2026-08-10","RT-D06","Chicago DC to Detroit Dist.","DC-CHI","DST-DET","FINISHED","TRUCK",1,41.8525,-87.6514,42.3314,-83.0458,2,0,13,96,false,"\N",8
68,"2026-01-19","RT-D06","Chicago DC to Detroit Dist.","DC-CHI","DST-DET","FINISHED","TRUCK",1,41.8525,-87.6514,42.3314,-83.0458,1,0,26,113,false,"\N",3
57,"2025-11-03","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,3,0,29,75,false,"\N",2
8,"2024-11-25","RT-D10","Dallas DC to Denver Dist.","DC-DAL","DST-DEN","FINISHED","TRUCK",2,32.7767,-96.7970,39.7392,-104.9903,3,0,18,129,false,"\N",6
13,"2024-12-30","RT-B01","Brooklyn Brewery to NYC DC","BRW-01","DC-NYC","FINISHED","TRUCK",1,40.6782,-73.9442,40.6501,-74.0139,1,0.3,16.7,120.28,true,"Ukraine-Russia War - Grain Export Disruption",37
16,"2025-01-20","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,1,0,29,104,false,"\N",5
88,"2026-06-08","RT-B02","Brooklyn Brewery to Atlanta DC","BRW-01","DC-ATL","FINISHED","TRUCK",3,40.6782,-73.9442,33.7537,-84.3863,4,0,12,70,false,"\N",7
27,"2025-04-07","RT-D13","Seattle DC to SF Dist.","DC-SEA","DST-SFO","FINISHED","TRUCK",2,47.6062,-122.3321,37.7749,-122.4194,2,0,13,98,false,"\N",6
50,"2025-09-15","RT-B06","Portland Brewery to Seattle DC","BRW-03","DC-SEA","FINISHED","TRUCK",1,45.5152,-122.6784,47.6062,-122.3321,1,0.35,21.5,110.08,true,"Pacific NW Wildfires - Hop Country",52
99,"2026-08-24","RT-B06","Portland Brewery to Seattle DC","BRW-03","DC-SEA","FINISHED","TRUCK",1,45.5152,-122.6784,47.6062,-122.3321,2,0.12,21.9,122.75,false,"Midwest Drought - Domestic Barley Belt",23
23,"2025-03-10","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,1,0,29,93,false,"\N",4
32,"2025-05-12","RT-S07","Hops: Yakima to Portland Brewery","SUP-WA","BRW-03","HOPS","TRUCK",1,46.6021,-120.5059,45.5152,-122.6784,2,0,21,75,false,"\N",1
41,"2025-07-14","RT-D02","NYC DC to Philadelphia Dist.","DC-NYC","DST-PHL","FINISHED","TRUCK",1,40.6501,-74.0139,39.9526,-75.1652,1,0,23,124,false,"\N",4
54,"2025-10-13","RT-S04","Barley: Saskatchewan to Brooklyn","SUP-SK","BRW-01","BARLEY","RAIL",6,50.4452,-104.6189,40.6782,-73.9442,6,0.075,27.2,87.98,false,"\N",15
54,"2025-10-13","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,4,0.075,22.3,108.12,false,"\N",13
94,"2026-07-20","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,3,0.06,20.5,136.24,false,"\N",7
45,"2025-08-11","RT-D05","Atlanta DC to Nashville Dist.","DC-ATL","DST-NSH","FINISHED","TRUCK",1,33.7537,-84.3863,36.1627,-86.7816,1,0,11,101,false,"\N",5
40,"2025-07-07","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,2,0,11,119,false,"\N",1
100,"2026-08-31","RT-B03","Brooklyn Brewery to Toronto DC","BRW-01","DC-TOR","FINISHED","TRUCK",2,40.6782,-73.9442,43.6532,-79.3832,3,0,30,117,false,"\N",1
99,"2026-08-24","RT-B02","Brooklyn Brewery to Atlanta DC","BRW-01","DC-ATL","FINISHED","TRUCK",3,40.6782,-73.9442,33.7537,-84.3863,3,0,23,78,false,"\N",10
12,"2024-12-23","RT-B03","Brooklyn Brewery to Toronto DC","BRW-01","DC-TOR","FINISHED","TRUCK",2,40.6782,-73.9442,43.6532,-79.3832,3,0.3,13.2,120.28,true,"Ukraine-Russia War - Grain Export Disruption",46
23,"2025-03-10","RT-B04","Chicago Brewery to Chicago DC","BRW-02","DC-CHI","FINISHED","TRUCK",1,41.8881,-87.6298,41.8525,-87.6514,2,0.25,18.9,98.4,true,"Ukraine-Russia War - Grain Export Disruption",34
32,"2025-05-12","RT-D03","Atlanta DC to Miami Dist.","DC-ATL","DST-MIA","FINISHED","TRUCK",2,33.7537,-84.3863,25.7617,-80.1918,2,0,19,74,false,"\N",3
99,"2026-08-24","RT-D03","Atlanta DC to Miami Dist.","DC-ATL","DST-MIA","FINISHED","TRUCK",2,33.7537,-84.3863,25.7617,-80.1918,3,0,13,75,false,"\N",10
31,"2025-05-05","RT-B04","Chicago Brewery to Chicago DC","BRW-02","DC-CHI","FINISHED","TRUCK",1,41.8881,-87.6298,41.8525,-87.6514,1,0.4,24.4,96.36,true,"Ukraine-Russia War - Grain Export Disruption",53
88,"2026-06-08","RT-S03","Barley: Idaho to Portland Brewery","SUP-ID","BRW-03","BARLEY","TRUCK",2,43.6150,-116.2023,45.5152,-122.6784,3,0.06,10.7,79.65,false,"\N",11
40,"2025-07-07","RT-D13","Seattle DC to SF Dist.","DC-SEA","DST-SFO","FINISHED","TRUCK",2,47.6062,-122.3321,37.7749,-122.4194,3,0,22,122,false,"\N",1
92,"2026-07-06","RT-S06","Hops: Yakima to Chicago Brewery","SUP-WA","BRW-02","HOPS","TRUCK",5,46.6021,-120.5059,41.8881,-87.6298,5,0,21,106,false,"\N",8
86,"2026-05-25","RT-S05","Hops: Yakima to Brooklyn Brewery","SUP-WA","BRW-01","HOPS","TRUCK",7,46.6021,-120.5059,40.6782,-73.9442,7,0,14,83,false,"\N",0
91,"2026-06-29","RT-B02","Brooklyn Brewery to Atlanta DC","BRW-01","DC-ATL","FINISHED","TRUCK",3,40.6782,-73.9442,33.7537,-84.3863,3,0,18,106,false,"\N",4
64,"2025-12-22","RT-B02","Brooklyn Brewery to Atlanta DC","BRW-01","DC-ATL","FINISHED","TRUCK",3,40.6782,-73.9442,33.7537,-84.3863,3,0,10,96,false,"\N",4
59,"2025-11-17","RT-B01","Brooklyn Brewery to NYC DC","BRW-01","DC-NYC","FINISHED","TRUCK",1,40.6782,-73.9442,40.6501,-74.0139,1,0,27,96,false,"\N",8
59,"2025-11-17","RT-S01","Barley: Montana to Brooklyn Brewery","SUP-MT","BRW-01","BARLEY","RAIL",5,47.5063,-111.2813,40.6782,-73.9442,5,0,26,123,false,"\N",3
61,"2025-12-01","RT-S01","Barley: Montana to Brooklyn Brewery","SUP-MT","BRW-01","BARLEY","RAIL",5,47.5063,-111.2813,40.6782,-73.9442,5,0,10,90,false,"\N",1
66,"2026-01-05","RT-D07","Chicago DC to Minneapolis Dist.","DC-CHI","DST-MSP","FINISHED","TRUCK",1,41.8525,-87.6514,44.9778,-93.2650,2,0,29,108,false,"\N",7
104,"2026-09-28","RT-D04","Atlanta DC to Tampa Dist.","DC-ATL","DST-TPA","FINISHED","TRUCK",1,33.7537,-84.3863,27.9506,-82.4572,2,0,20,127,false,"\N",4
57,"2025-11-03","RT-D12","Seattle DC to Portland Dist.","DC-SEA","DST-PDX","FINISHED","TRUCK",1,47.6062,-122.3321,45.5152,-122.6784,1,0,12,88,false,"\N",0
1,"2024-10-07","RT-D08","Chicago DC to St.Louis Dist.","DC-CHI","DST-STL","FINISHED","TRUCK",1,41.8525,-87.6514,38.6270,-90.1994,1,0,23,87,false,"\N",3
2,"2024-10-14","RT-S04","Barley: Saskatchewan to Brooklyn","SUP-SK","BRW-01","BARLEY","RAIL",6,50.4452,-104.6189,40.6782,-73.9442,8,0.125,12.4,132,false,"\N",25
16,"2025-01-20","RT-D06","Chicago DC to Detroit Dist.","DC-CHI","DST-DET","FINISHED","TRUCK",1,41.8525,-87.6514,42.3314,-83.0458,1,0,10,106,false,"\N",1
13,"2024-12-30","RT-D05","Atlanta DC to Nashville Dist.","DC-ATL","DST-NSH","FINISHED","TRUCK",1,33.7537,-84.3863,36.1627,-86.7816,1,0,20,128,false,"\N",1
18,"2025-02-03","RT-D09","Dallas DC to Houston Dist.","DC-DAL","DST-HOU","FINISHED","TRUCK",1,32.7767,-96.7970,29.7604,-95.3698,2,0,26,123,false,"\N",8
49,"2025-09-08","RT-D13","Seattle DC to SF Dist.","DC-SEA","DST-SFO","FINISHED","TRUCK",2,47.6062,-122.3321,37.7749,-122.4194,2,0,15,93,false,"\N",9
24,"2025-03-17","RT-D05","Atlanta DC to Nashville Dist.","DC-ATL","DST-NSH","FINISHED","TRUCK",1,33.7537,-84.3863,36.1627,-86.7816,1,0,23,106,false,"\N",5
53,"2025-10-06","RT-D14","Seattle DC to LA Dist.","DC-SEA","DST-LAX","FINISHED","TRUCK",3,47.6062,-122.3321,34.0522,-118.2437,3,0,16,115,false,"\N",5
90,"2026-06-22","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,3,0.06,28.3,120.52,false,"\N",17
27,"2025-04-07","RT-D08","Chicago DC to St.Louis Dist.","DC-CHI","DST-STL","FINISHED","TRUCK",1,41.8525,-87.6514,38.6270,-90.1994,1,0,13,77,false,"\N",1
38,"2025-06-23","RT-D14","Seattle DC to LA Dist.","DC-SEA","DST-LAX","FINISHED","TRUCK",3,47.6062,-122.3321,34.0522,-118.2437,3,0,11,128,false,"\N",0
45,"2025-08-11","RT-D08","Chicago DC to St.Louis Dist.","DC-CHI","DST-STL","FINISHED","TRUCK",1,41.8525,-87.6514,38.6270,-90.1994,1,0,13,111,false,"\N",4
89,"2026-06-15","RT-S02","Barley: N.Dakota to Chicago Brewery","SUP-ND","BRW-02","BARLEY","RAIL",3,46.8772,-96.7898,41.8881,-87.6298,3,0.06,26.4,112.14,false,"\N",10
95,"2026-07-27","RT-D03","Atlanta DC to Miami Dist.","DC-ATL","DST-MIA","FINISHED","TRUCK",2,33.7537,-84.3863,25.7617,-80.1918,2,0,25,108,false,"\N",6
44,"2025-08-04","RT-D01","NYC DC to Boston Dist.","DC-NYC","DST-BOS","FINISHED","TRUCK",1,40.6501,-74.0139,42.3601,-71.0589,2,0,27,120,false,"\N",5
99,"2026-08-24","RT-S03","Barley: Idaho to Portland Brewery","SUP-ID","BRW-03","BARLEY","TRUCK",2,43.6150,-116.2023,45.5152,-122.6784,2,0.06,9.8,78.6,false,"\N",14
75,"2026-03-09","RT-S06","Hops: Yakima to Chicago Brewery","SUP-WA","BRW-02","HOPS","TRUCK",5,46.6021,-120.5059,41.8881,-87.6298,6,0,12,73,false,"\N",6
95,"2026-07-27","RT-B05","Chicago Brewery to Dallas DC","BRW-02","DC-DAL","FINISHED","TRUCK",3,41.8881,-87.6298,32.7767,-96.7970,4,0.12,21.9,104.12,false,"Midwest Drought - Domestic Barley Belt",24
60,"2025-11-24","RT-D13","Seattle DC to SF Dist.","DC-SEA","DST-SFO","FINISHED","TRUCK",2,47.6062,-122.3321,37.7749,-122.4194,3,0,23,130,false,"\N",7
