"WEEK_NUM","WEEK_START_DATE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","PACK_TYPE","DC_ID","DC_NAME","CITY","STATE","UNITS_SOLD","SELLING_PRICE","UNIT_COGS","BARLEY_USAGE_PER_UNIT","HOPS_USAGE_PER_UNIT","OTHER_COGS_PER_UNIT"
16,"2025-01-20","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,31.77,23.94,0.85,0.55,14.74
32,"2025-05-12","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,34.06,23.93,0.85,0.55,14.74
48,"2025-09-01","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",15,33.08,24.5,0.85,0.55,14.74
64,"2025-12-22","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,32.75,21.74,0.85,0.55,14.74
80,"2026-04-13","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,32.10,22.27,0.85,0.55,14.74
96,"2026-08-03","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,33.08,23.26,0.85,0.55,14.74
9,"2024-12-02","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.73,23.62,0.85,0.55,14.74
25,"2025-03-24","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,31.77,24.21,0.85,0.55,14.74
41,"2025-07-14","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,33.73,23.43,0.85,0.55,14.74
57,"2025-11-03","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,33.41,21.52,0.85,0.55,14.74
73,"2026-02-23","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,32.42,21.9,0.85,0.55,14.74
89,"2026-06-15","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,33.73,23.77,0.85,0.55,14.74
2,"2024-10-14","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,34.39,23.13,0.85,0.55,14.74
18,"2025-02-03","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",10,31.77,23.9,0.85,0.55,14.74
34,"2025-05-26","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,34.06,23.49,0.85,0.55,14.74
50,"2025-09-15","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,32.10,24.36,0.85,0.55,14.74
66,"2026-01-05","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.41,21.6,0.85,0.55,14.74
82,"2026-04-27","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,33.08,22.21,0.85,0.55,14.74
98,"2026-08-17","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,34.06,23.1,0.85,0.55,14.74
3,"2024-10-21","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,33.41,23.07,0.85,0.55,14.74
19,"2025-02-10","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,31.77,24.07,0.85,0.55,14.74
35,"2025-06-02","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,34.39,23.4,0.85,0.55,14.74
51,"2025-09-22","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,33.08,24.42,0.85,0.55,14.74
67,"2026-01-12","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,34.39,21.78,0.85,0.55,14.74
83,"2026-05-04","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,34.39,22.1,0.85,0.55,14.74
99,"2026-08-24","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,32.10,23.26,0.85,0.55,14.74
4,"2024-10-28","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,33.73,23.18,0.85,0.55,14.74
20,"2025-02-17","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,34.39,24.03,0.85,0.55,14.74
36,"2025-06-09","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",19,33.41,23.38,0.85,0.55,14.74
52,"2025-09-29","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.75,24.47,0.85,0.55,14.74
68,"2026-01-19","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",10,31.77,21.78,0.85,0.55,14.74
84,"2026-05-11","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,33.41,22.08,0.85,0.55,14.74
100,"2026-08-31","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,33.08,23.21,0.85,0.55,14.74
5,"2024-11-04","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.73,23.23,0.85,0.55,14.74
21,"2025-02-24","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,31.77,24.05,0.85,0.55,14.74
37,"2025-06-16","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",19,33.08,23.32,0.85,0.55,14.74
53,"2025-10-06","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,33.73,23.32,0.85,0.55,14.74
69,"2026-01-26","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,33.41,21.92,0.85,0.55,14.74
85,"2026-05-18","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,33.73,22.16,0.85,0.55,14.74
101,"2026-09-07","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.75,21.65,0.85,0.55,14.74
6,"2024-11-11","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",10,32.42,23.03,0.85,0.55,14.74
22,"2025-03-03","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.73,24.09,0.85,0.55,14.74
38,"2025-06-23","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,32.10,23.33,0.85,0.55,14.74
54,"2025-10-13","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,34.06,23.26,0.85,0.55,14.74
70,"2026-02-02","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,32.10,21.79,0.85,0.55,14.74
86,"2026-05-25","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,34.06,21.97,0.85,0.55,14.74
102,"2026-09-14","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,32.10,21.61,0.85,0.55,14.74
7,"2024-11-18","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.73,23.67,0.85,0.55,14.74
23,"2025-03-10","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,33.08,24.17,0.85,0.55,14.74
39,"2025-06-30","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",17,33.73,23.23,0.85,0.55,14.74
55,"2025-10-20","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,33.41,23.28,0.85,0.55,14.74
71,"2026-02-09","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",12,33.41,21.7,0.85,0.55,14.74
87,"2026-06-01","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,34.06,23.76,0.85,0.55,14.74
103,"2026-09-21","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",16,34.06,21.45,0.85,0.55,14.74
8,"2024-11-25","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",11,33.41,23.81,0.85,0.55,14.74
24,"2025-03-17","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,33.08,24.12,0.85,0.55,14.74
40,"2025-07-07","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",20,33.41,23.44,0.85,0.55,14.74
56,"2025-10-27","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",13,33.73,23.4,0.85,0.55,14.74
72,"2026-02-16","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,31.77,21.88,0.85,0.55,14.74
88,"2026-06-08","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",18,31.77,23.7,0.85,0.55,14.74
104,"2026-09-28","BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS","DC-ATL","Atlanta Distribution Center","Atlanta","GA",14,34.39,21.63,0.85,0.55,14.74
1,"2024-10-07","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",31,48.23,26.89,0.95,1.40,14.15
17,"2025-01-27","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",23,45.93,28.31,0.95,1.40,14.15
33,"2025-05-19","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",33,44.55,27.89,0.95,1.40,14.15
49,"2025-09-08","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",34,48.23,29.86,0.95,1.40,14.15
65,"2025-12-29","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",24,46.85,25.24,0.95,1.40,14.15
81,"2026-04-20","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",31,48.23,25.92,0.95,1.40,14.15
97,"2026-08-10","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",41,46.85,27.03,0.95,1.40,14.15
10,"2024-12-09","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",24,47.77,28.47,0.95,1.40,14.15
26,"2025-03-31","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",27,47.77,28.35,0.95,1.40,14.15
42,"2025-07-21","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",34,47.77,27.42,0.95,1.40,14.15
58,"2025-11-10","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",29,46.39,25.16,0.95,1.40,14.15
74,"2026-03-02","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",28,47.77,25.94,0.95,1.40,14.15
90,"2026-06-22","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",40,46.39,27.9,0.95,1.40,14.15
11,"2024-12-16","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",24,46.39,28.6,0.95,1.40,14.15
27,"2025-04-07","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",32,45.47,28.35,0.95,1.40,14.15
43,"2025-07-28","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",38,47.31,27.2,0.95,1.40,14.15
59,"2025-11-17","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",25,47.31,25.47,0.95,1.40,14.15
75,"2026-03-09","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",28,44.55,25.84,0.95,1.40,14.15
91,"2026-06-29","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",36,44.55,27.84,0.95,1.40,14.15
12,"2024-12-23","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",21,46.85,28.44,0.95,1.40,14.15
28,"2025-04-14","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",30,45.93,28.49,0.95,1.40,14.15
44,"2025-08-04","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",40,48.23,27.28,0.95,1.40,14.15
60,"2025-11-24","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",26,45.01,25.46,0.95,1.40,14.15
76,"2026-03-16","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",26,47.77,25.99,0.95,1.40,14.15
92,"2026-07-06","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",40,44.55,26.94,0.95,1.40,14.15
13,"2024-12-30","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",21,45.01,28.44,0.95,1.40,14.15
29,"2025-04-21","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",31,45.01,28.49,0.95,1.40,14.15
45,"2025-08-11","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",40,46.85,27.5,0.95,1.40,14.15
61,"2025-12-01","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",23,46.39,25.31,0.95,1.40,14.15
77,"2026-03-23","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",30,48.23,25.78,0.95,1.40,14.15
93,"2026-07-13","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",39,48.23,26.94,0.95,1.40,14.15
14,"2025-01-06","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",23,47.77,28.24,0.95,1.40,14.15
30,"2025-04-28","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",36,46.39,28.35,0.95,1.40,14.15
46,"2025-08-18","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",37,45.47,30.02,0.95,1.40,14.15
62,"2025-12-08","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",24,46.39,25.27,0.95,1.40,14.15
78,"2026-03-30","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",31,44.55,25.88,0.95,1.40,14.15
94,"2026-07-20","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",37,46.85,26.99,0.95,1.40,14.15
15,"2025-01-13","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",23,47.31,28.4,0.95,1.40,14.15
31,"2025-05-05","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",37,47.31,27.81,0.95,1.40,14.15
47,"2025-08-25","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",33,45.01,30.03,0.95,1.40,14.15
63,"2025-12-15","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",22,44.55,25.27,0.95,1.40,14.15
79,"2026-04-06","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",31,45.01,25.64,0.95,1.40,14.15
95,"2026-07-27","BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS","DC-NYC","New York Distribution Center","Brooklyn","NY",41,44.55,27,0.95,1.40,14.15
