"WEEK_NUM","WEEK_START_DATE","MATERIAL","UNIT","SPOT_PRICE","BASELINE_PRICE","EVENT_IMPACT_PCT"
43,"2025-07-28","HOPS","USD/lb",4.32,4.34,0
44,"2025-08-04","HOPS","USD/lb",4.3,4.37,0
45,"2025-08-11","HOPS","USD/lb",4.5,4.4,0
46,"2025-08-18","HOPS","USD/lb",6.45,4.42,45
47,"2025-08-25","HOPS","USD/lb",6.42,4.45,45
48,"2025-09-01","HOPS","USD/lb",6.56,4.47,45
49,"2025-09-08","HOPS","USD/lb",6.42,4.48,45
50,"2025-09-15","HOPS","USD/lb",6.42,4.49,45
51,"2025-09-22","HOPS","USD/lb",6.57,4.5,45
52,"2025-09-29","HOPS","USD/lb",6.49,4.5,45
92,"2026-07-06","BARLEY","USD/bushel",7.3,5.45,35
93,"2026-07-13","BARLEY","USD/bushel",7.3,5.4,35
94,"2026-07-20","BARLEY","USD/bushel",7.24,5.36,35
95,"2026-07-27","BARLEY","USD/bushel",7.25,5.31,35
96,"2026-08-03","BARLEY","USD/bushel",7.14,5.27,35
97,"2026-08-10","BARLEY","USD/bushel",7,5.23,35
98,"2026-08-17","BARLEY","USD/bushel",6.97,5.2,35
99,"2026-08-24","BARLEY","USD/bushel",7.09,5.17,35
100,"2026-08-31","BARLEY","USD/bushel",7.05,5.15,35
101,"2026-09-07","BARLEY","USD/bushel",5.2,5.13,0
102,"2026-09-14","BARLEY","USD/bushel",5.2,5.11,0
103,"2026-09-21","BARLEY","USD/bushel",5.02,5.1,0
104,"2026-09-28","BARLEY","USD/bushel",5.19,5.1,0
1,"2024-10-07","HOPS","USD/lb",4.41,4.5,0
2,"2024-10-14","HOPS","USD/lb",4.55,4.49,0
3,"2024-10-21","HOPS","USD/lb",4.38,4.48,0
4,"2024-10-28","HOPS","USD/lb",4.57,4.47,0
5,"2024-11-04","HOPS","USD/lb",4.46,4.45,0
6,"2024-11-11","HOPS","USD/lb",4.32,4.42,0
7,"2024-11-18","HOPS","USD/lb",5.31,4.4,22
8,"2024-11-25","HOPS","USD/lb",5.38,4.37,22
9,"2024-12-02","HOPS","USD/lb",5.24,4.34,22
10,"2024-12-09","HOPS","USD/lb",5.33,4.31,22
11,"2024-12-16","HOPS","USD/lb",5.29,4.27,22
12,"2024-12-23","HOPS","USD/lb",5.16,4.24,22
13,"2024-12-30","HOPS","USD/lb",5.1,4.2,22
66,"2026-01-05","BARLEY","USD/bushel",5.43,5.55,0
67,"2026-01-12","BARLEY","USD/bushel",5.64,5.6,0
68,"2026-01-19","BARLEY","USD/bushel",5.66,5.64,0
69,"2026-01-26","BARLEY","USD/bushel",5.78,5.69,0
70,"2026-02-02","BARLEY","USD/bushel",5.63,5.73,0
71,"2026-02-09","BARLEY","USD/bushel",5.65,5.77,0
72,"2026-02-16","BARLEY","USD/bushel",5.82,5.8,0
73,"2026-02-23","BARLEY","USD/bushel",5.89,5.83,0
74,"2026-03-02","BARLEY","USD/bushel",5.94,5.85,0
75,"2026-03-09","BARLEY","USD/bushel",5.84,5.87,0
76,"2026-03-16","BARLEY","USD/bushel",5.93,5.89,0
77,"2026-03-23","BARLEY","USD/bushel",5.86,5.9,0
78,"2026-03-30","BARLEY","USD/bushel",5.82,5.9,0
92,"2026-07-06","HOPS","USD/lb",4.18,4.24,0
93,"2026-07-13","HOPS","USD/lb",4.18,4.27,0
94,"2026-07-20","HOPS","USD/lb",4.26,4.31,0
95,"2026-07-27","HOPS","USD/lb",4.26,4.34,0
96,"2026-08-03","HOPS","USD/lb",4.45,4.37,0
97,"2026-08-10","HOPS","USD/lb",4.45,4.4,0
98,"2026-08-17","HOPS","USD/lb",4.43,4.42,0
99,"2026-08-24","HOPS","USD/lb",4.54,4.45,0
100,"2026-08-31","HOPS","USD/lb",4.51,4.47,0
101,"2026-09-07","HOPS","USD/lb",4.52,4.48,0
102,"2026-09-14","HOPS","USD/lb",4.46,4.49,0
103,"2026-09-21","HOPS","USD/lb",4.45,4.5,0
104,"2026-09-28","HOPS","USD/lb",4.5,4.5,0
79,"2026-04-06","HOPS","USD/lb",4.27,3.9,12
80,"2026-04-13","HOPS","USD/lb",4.46,3.91,12
81,"2026-04-20","HOPS","USD/lb",4.43,3.92,12
82,"2026-04-27","HOPS","USD/lb",4.48,3.93,12
83,"2026-05-04","HOPS","USD/lb",4.43,3.95,12
84,"2026-05-11","HOPS","USD/lb",4.47,3.98,12
85,"2026-05-18","HOPS","USD/lb",4.42,4,12
86,"2026-05-25","HOPS","USD/lb",4.45,4.03,12
87,"2026-06-01","HOPS","USD/lb",4.52,4.06,12
88,"2026-06-08","HOPS","USD/lb",4.63,4.09,12
89,"2026-06-15","HOPS","USD/lb",4.56,4.13,12
90,"2026-06-22","HOPS","USD/lb",4.75,4.16,12
91,"2026-06-29","HOPS","USD/lb",4.69,4.2,12
27,"2025-04-07","HOPS","USD/lb",4.68,3.9,22
28,"2025-04-14","HOPS","USD/lb",4.83,3.91,22
29,"2025-04-21","HOPS","USD/lb",4.88,3.92,22
30,"2025-04-28","HOPS","USD/lb",4.83,3.93,22
31,"2025-05-05","HOPS","USD/lb",4.49,3.95,15
32,"2025-05-12","HOPS","USD/lb",4.63,3.98,15
33,"2025-05-19","HOPS","USD/lb",4.53,4,15
34,"2025-05-26","HOPS","USD/lb",4.01,4.03,0
35,"2025-06-02","HOPS","USD/lb",4.07,4.06,0
36,"2025-06-09","HOPS","USD/lb",3.99,4.09,0
37,"2025-06-16","HOPS","USD/lb",4.07,4.13,0
38,"2025-06-23","HOPS","USD/lb",4.07,4.16,0
39,"2025-06-30","HOPS","USD/lb",4.14,4.2,0
14,"2025-01-06","BARLEY","USD/bushel",7.39,5.55,35
15,"2025-01-13","BARLEY","USD/bushel",7.54,5.6,35
16,"2025-01-20","BARLEY","USD/bushel",7.61,5.64,35
17,"2025-01-27","BARLEY","USD/bushel",7.68,5.69,35
18,"2025-02-03","BARLEY","USD/bushel",7.64,5.73,35
19,"2025-02-10","BARLEY","USD/bushel",7.82,5.77,35
20,"2025-02-17","BARLEY","USD/bushel",7.75,5.8,35
21,"2025-02-24","BARLEY","USD/bushel",7.82,5.83,35
22,"2025-03-03","BARLEY","USD/bushel",7.86,5.85,35
23,"2025-03-10","BARLEY","USD/bushel",7.96,5.87,35
24,"2025-03-17","BARLEY","USD/bushel",7.97,5.89,35
25,"2025-03-24","BARLEY","USD/bushel",8,5.9,35
26,"2025-03-31","BARLEY","USD/bushel",7.95,5.9,35
66,"2026-01-05","HOPS","USD/lb",4.08,4.16,0
67,"2026-01-12","HOPS","USD/lb",4.09,4.13,0
68,"2026-01-19","HOPS","USD/lb",4.05,4.09,0
69,"2026-01-26","HOPS","USD/lb",4.13,4.06,0
70,"2026-02-02","HOPS","USD/lb",4.11,4.03,0
71,"2026-02-09","HOPS","USD/lb",3.93,4,0
72,"2026-02-16","HOPS","USD/lb",3.98,3.98,0
73,"2026-02-23","HOPS","USD/lb",3.92,3.95,0
74,"2026-03-02","HOPS","USD/lb",4.39,3.93,12
75,"2026-03-09","HOPS","USD/lb",4.39,3.92,12
76,"2026-03-16","HOPS","USD/lb",4.43,3.91,12
77,"2026-03-23","HOPS","USD/lb",4.33,3.9,12
78,"2026-03-30","HOPS","USD/lb",4.43,3.9,12
53,"2025-10-06","BARLEY","USD/bushel",7.13,5.1,40
54,"2025-10-13","BARLEY","USD/bushel",7.1,5.11,40
55,"2025-10-20","BARLEY","USD/bushel",7.12,5.13,40
56,"2025-10-27","BARLEY","USD/bushel",7.3,5.15,40
57,"2025-11-03","BARLEY","USD/bushel",5.13,5.17,0
58,"2025-11-10","BARLEY","USD/bushel",5.16,5.2,0
59,"2025-11-17","BARLEY","USD/bushel",5.3,5.23,0
60,"2025-11-24","BARLEY","USD/bushel",5.33,5.27,0
61,"2025-12-01","BARLEY","USD/bushel",5.23,5.31,0
62,"2025-12-08","BARLEY","USD/bushel",5.32,5.36,0
63,"2025-12-15","BARLEY","USD/bushel",5.37,5.4,0
64,"2025-12-22","BARLEY","USD/bushel",5.47,5.45,0
65,"2025-12-29","BARLEY","USD/bushel",5.46,5.5,0
27,"2025-04-07","BARLEY","USD/bushel",8.05,5.9,35
28,"2025-04-14","BARLEY","USD/bushel",7.98,5.89,35
29,"2025-04-21","BARLEY","USD/bushel",7.9,5.87,35
30,"2025-04-28","BARLEY","USD/bushel",7.83,5.85,35
31,"2025-05-05","BARLEY","USD/bushel",7.76,5.83,35
32,"2025-05-12","BARLEY","USD/bushel",7.82,5.8,35
33,"2025-05-19","BARLEY","USD/bushel",7.79,5.77,35
34,"2025-05-26","BARLEY","USD/bushel",7.7,5.73,35
35,"2025-06-02","BARLEY","USD/bushel",7.56,5.69,35
36,"2025-06-09","BARLEY","USD/bushel",7.58,5.64,35
37,"2025-06-16","BARLEY","USD/bushel",7.46,5.6,35
38,"2025-06-23","BARLEY","USD/bushel",7.47,5.55,35
39,"2025-06-30","BARLEY","USD/bushel",7.31,5.5,35
79,"2026-04-06","BARLEY","USD/bushel",5.8,5.9,0
80,"2026-04-13","BARLEY","USD/bushel",5.97,5.89,0
81,"2026-04-20","BARLEY","USD/bushel",5.86,5.87,0
82,"2026-04-27","BARLEY","USD/bushel",5.89,5.85,0
83,"2026-05-04","BARLEY","USD/bushel",5.79,5.83,0
84,"2026-05-11","BARLEY","USD/bushel",5.74,5.8,0
85,"2026-05-18","BARLEY","USD/bushel",5.87,5.77,0
86,"2026-05-25","BARLEY","USD/bushel",5.63,5.73,0
87,"2026-06-01","BARLEY","USD/bushel",7.69,5.69,35
88,"2026-06-08","BARLEY","USD/bushel",7.55,5.64,35
89,"2026-06-15","BARLEY","USD/bushel",7.67,5.6,35
90,"2026-06-22","BARLEY","USD/bushel",7.47,5.55,35
91,"2026-06-29","BARLEY","USD/bushel",7.5,5.5,35
53,"2025-10-06","HOPS","USD/lb",4.58,4.5,0
54,"2025-10-13","HOPS","USD/lb",4.51,4.49,0
55,"2025-10-20","HOPS","USD/lb",4.52,4.48,0
56,"2025-10-27","HOPS","USD/lb",4.46,4.47,0
57,"2025-11-03","HOPS","USD/lb",4.39,4.45,0
58,"2025-11-10","HOPS","USD/lb",4.36,4.42,0
59,"2025-11-17","HOPS","USD/lb",4.49,4.4,0
60,"2025-11-24","HOPS","USD/lb",4.46,4.37,0
61,"2025-12-01","HOPS","USD/lb",4.42,4.34,0
62,"2025-12-08","HOPS","USD/lb",4.33,4.31,0
63,"2025-12-15","HOPS","USD/lb",4.3,4.27,0
64,"2025-12-22","HOPS","USD/lb",4.27,4.24,0
65,"2025-12-29","HOPS","USD/lb",4.22,4.2,0
