"SCENARIO_NAME","SCENARIO_BARLEY_PRICE","SCENARIO_HOPS_PRICE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","RETAIL_PRICE","BASELINE_COGS","SCENARIO_COGS","COGS_INCREASE_PCT","BASELINE_MARGIN_PCT","SCENARIO_MARGIN_PCT","MARGIN_EROSION_PCT","PRICING_ACTION","RECOMMENDED_PRICE"
"Extreme (+75%)",9.63,7.35,"BEER-001004","Chicago Amber Ale - 50L Keg","ALE",153.64,93.47,99.39,6.3,39.2,35.3,3.9,"ABSORB",153.64
"High Stress (+30%)",7.15,5.46,"BEER-001004","Chicago Amber Ale - 50L Keg","ALE",153.64,93.47,95.84,2.5,39.2,37.6,1.5,"ABSORB",153.64
"Baseline",5.50,4.20,"BEER-001005","Demo Beer Product #5","BEER",33.80,24.26,24.26,0.0,28.2,28.2,0.0,"ABSORB",33.80
"Crisis (+50%)",8.25,6.30,"BEER-001005","Demo Beer Product #5","BEER",33.80,24.26,28.09,15.8,28.2,16.9,11.3,"PARTIAL_PASS_THROUGH",36.10
"Moderate (+15%)",6.33,4.83,"BEER-001005","Demo Beer Product #5","BEER",33.80,24.26,25.42,4.7,28.2,24.8,3.4,"ABSORB",33.80
"Extreme (+75%)",9.63,7.35,"BEER-001005","Demo Beer Product #5","BEER",33.80,24.26,30.01,23.7,28.2,11.2,17.0,"FULL_REPRICE",38.68
"High Stress (+30%)",7.15,5.46,"BEER-001005","Demo Beer Product #5","BEER",33.80,24.26,26.56,9.5,28.2,21.4,6.8,"PARTIAL_PASS_THROUGH",35.18
"Baseline",5.50,4.20,"BEER-001006","Demo Beer Product #6","BEER",35.34,22.67,22.67,0.0,35.8,35.8,0.0,"ABSORB",35.34
"Crisis (+50%)",8.25,6.30,"BEER-001006","Demo Beer Product #6","BEER",35.34,22.67,25.92,14.3,35.8,26.6,9.2,"PARTIAL_PASS_THROUGH",37.29
"Moderate (+15%)",6.33,4.83,"BEER-001006","Demo Beer Product #6","BEER",35.34,22.67,23.65,4.3,35.8,33.1,2.8,"ABSORB",35.34
"Extreme (+75%)",9.63,7.35,"BEER-001006","Demo Beer Product #6","BEER",35.34,22.67,27.55,21.5,35.8,22.0,13.8,"FULL_REPRICE",39.49
"High Stress (+30%)",7.15,5.46,"BEER-001006","Demo Beer Product #6","BEER",35.34,22.67,24.62,8.6,35.8,30.3,5.5,"PARTIAL_PASS_THROUGH",36.51
"Baseline",5.50,4.20,"BEER-001007","Demo Beer Product #7","BEER",32.30,22.95,22.95,0.0,29.0,29.0,0.0,"ABSORB",32.30
"Crisis (+50%)",8.25,6.30,"BEER-001007","Demo Beer Product #7","BEER",32.30,22.95,26.47,15.3,29.0,18.1,10.9,"PARTIAL_PASS_THROUGH",34.41
"Moderate (+15%)",6.33,4.83,"BEER-001007","Demo Beer Product #7","BEER",32.30,22.95,24.01,4.6,29.0,25.7,3.3,"ABSORB",32.30
"Extreme (+75%)",9.63,7.35,"BEER-001007","Demo Beer Product #7","BEER",32.30,22.95,28.23,23.0,29.0,12.6,16.4,"FULL_REPRICE",36.79
"High Stress (+30%)",7.15,5.46,"BEER-001007","Demo Beer Product #7","BEER",32.30,22.95,25.06,9.2,29.0,22.4,6.5,"PARTIAL_PASS_THROUGH",33.57
"Baseline",5.50,4.20,"BEER-001008","Demo Beer Product #8","BEER",31.18,22.92,22.92,0.0,26.5,26.5,0.0,"ABSORB",31.18
"Crisis (+50%)",8.25,6.30,"BEER-001008","Demo Beer Product #8","BEER",31.18,22.92,26.06,13.7,26.5,16.4,10.1,"PARTIAL_PASS_THROUGH",33.06
"Moderate (+15%)",6.33,4.83,"BEER-001008","Demo Beer Product #8","BEER",31.18,22.92,23.87,4.1,26.5,23.5,3.0,"ABSORB",31.18
"Extreme (+75%)",9.63,7.35,"BEER-001008","Demo Beer Product #8","BEER",31.18,22.92,27.63,20.6,26.5,11.4,15.1,"FULL_REPRICE",35.19
"High Stress (+30%)",7.15,5.46,"BEER-001008","Demo Beer Product #8","BEER",31.18,22.92,24.80,8.2,26.5,20.4,6.0,"PARTIAL_PASS_THROUGH",32.31
"Baseline",5.50,4.20,"BEER-001009","Demo Beer Product #9","BEER",36.85,25.09,25.09,0.0,31.9,31.9,0.0,"ABSORB",36.85
"Crisis (+50%)",8.25,6.30,"BEER-001009","Demo Beer Product #9","BEER",36.85,25.09,29.23,16.5,31.9,20.7,11.2,"PARTIAL_PASS_THROUGH",39.33
"Moderate (+15%)",6.33,4.83,"BEER-001009","Demo Beer Product #9","BEER",36.85,25.09,26.34,5.0,31.9,28.5,3.4,"ABSORB",36.85
"Extreme (+75%)",9.63,7.35,"BEER-001009","Demo Beer Product #9","BEER",36.85,25.09,31.31,24.8,31.9,15.0,16.9,"FULL_REPRICE",42.13
"High Stress (+30%)",7.15,5.46,"BEER-001009","Demo Beer Product #9","BEER",36.85,25.09,27.58,9.9,31.9,25.2,6.7,"PARTIAL_PASS_THROUGH",38.34
"Baseline",5.50,4.20,"BEER-001010","Demo Beer Product #10","BEER",35.97,21.83,21.83,0.0,39.3,39.3,0.0,"ABSORB",35.97
"Crisis (+50%)",8.25,6.30,"BEER-001010","Demo Beer Product #10","BEER",35.97,21.83,25.61,17.3,39.3,28.8,10.5,"PARTIAL_PASS_THROUGH",38.24
"Moderate (+15%)",6.33,4.83,"BEER-001010","Demo Beer Product #10","BEER",35.97,21.83,22.97,5.2,39.3,36.1,3.2,"ABSORB",35.97
"Extreme (+75%)",9.63,7.35,"BEER-001010","Demo Beer Product #10","BEER",35.97,21.83,27.51,26.0,39.3,23.5,15.8,"FULL_REPRICE",40.79
"High Stress (+30%)",7.15,5.46,"BEER-001010","Demo Beer Product #10","BEER",35.97,21.83,24.10,10.4,39.3,33.0,6.3,"PARTIAL_PASS_THROUGH",37.33
"Baseline",5.50,4.20,"BEER-001011","Demo Beer Product #11","BEER",33.69,21.79,21.79,0.0,35.3,35.3,0.0,"ABSORB",33.69
"Crisis (+50%)",8.25,6.30,"BEER-001011","Demo Beer Product #11","BEER",33.69,21.79,25.56,17.3,35.3,24.1,11.2,"PARTIAL_PASS_THROUGH",35.95
"Moderate (+15%)",6.33,4.83,"BEER-001011","Demo Beer Product #11","BEER",33.69,21.79,22.93,5.2,35.3,31.9,3.4,"ABSORB",33.69
"Extreme (+75%)",9.63,7.35,"BEER-001011","Demo Beer Product #11","BEER",33.69,21.79,27.45,26.0,35.3,18.5,16.8,"FULL_REPRICE",38.50
"High Stress (+30%)",7.15,5.46,"BEER-001011","Demo Beer Product #11","BEER",33.69,21.79,24.05,10.4,35.3,28.6,6.7,"PARTIAL_PASS_THROUGH",35.05
"Baseline",5.50,4.20,"BEER-001012","Demo Beer Product #12","BEER",31.09,22.94,22.94,0.0,26.2,26.2,0.0,"ABSORB",31.09
"Crisis (+50%)",8.25,6.30,"BEER-001012","Demo Beer Product #12","BEER",31.09,22.94,27.21,18.7,26.2,12.5,13.8,"FULL_REPRICE",34.73
"Moderate (+15%)",6.33,4.83,"BEER-001012","Demo Beer Product #12","BEER",31.09,22.94,24.22,5.6,26.2,22.1,4.1,"ABSORB",31.09
"Extreme (+75%)",9.63,7.35,"BEER-001012","Demo Beer Product #12","BEER",31.09,22.94,29.36,28.0,26.2,5.6,20.7,"FULL_REPRICE",36.55
"High Stress (+30%)",7.15,5.46,"BEER-001012","Demo Beer Product #12","BEER",31.09,22.94,25.50,11.2,26.2,18.0,8.3,"PARTIAL_PASS_THROUGH",32.63
"Baseline",5.50,4.20,"BEER-001013","Demo Beer Product #13","BEER",31.29,22.99,22.99,0.0,26.5,26.5,0.0,"ABSORB",31.29
"Crisis (+50%)",8.25,6.30,"BEER-001013","Demo Beer Product #13","BEER",31.29,22.99,26.94,17.2,26.5,13.9,12.6,"PARTIAL_PASS_THROUGH",33.66
"Moderate (+15%)",6.33,4.83,"BEER-001013","Demo Beer Product #13","BEER",31.29,22.99,24.18,5.2,26.5,22.7,3.8,"ABSORB",31.29
"Extreme (+75%)",9.63,7.35,"BEER-001013","Demo Beer Product #13","BEER",31.29,22.99,28.92,25.8,26.5,7.6,18.9,"FULL_REPRICE",36.33
"High Stress (+30%)",7.15,5.46,"BEER-001013","Demo Beer Product #13","BEER",31.29,22.99,25.36,10.3,26.5,18.9,7.6,"PARTIAL_PASS_THROUGH",32.71
"Baseline",5.50,4.20,"BEER-001014","Demo Beer Product #14","BEER",34.69,22.95,22.95,0.0,33.8,33.8,0.0,"ABSORB",34.69
"Crisis (+50%)",8.25,6.30,"BEER-001014","Demo Beer Product #14","BEER",34.69,22.95,27.00,17.6,33.8,22.2,11.7,"PARTIAL_PASS_THROUGH",37.12
"Moderate (+15%)",6.33,4.83,"BEER-001014","Demo Beer Product #14","BEER",34.69,22.95,24.17,5.3,33.8,30.3,3.5,"ABSORB",34.69
"Extreme (+75%)",9.63,7.35,"BEER-001014","Demo Beer Product #14","BEER",34.69,22.95,29.02,26.4,33.8,16.3,17.5,"FULL_REPRICE",39.85
"High Stress (+30%)",7.15,5.46,"BEER-001014","Demo Beer Product #14","BEER",34.69,22.95,25.38,10.6,33.8,26.8,7.0,"PARTIAL_PASS_THROUGH",36.15
"Baseline",5.50,4.20,"BEER-001015","Demo Beer Product #15","BEER",31.05,23.14,23.14,0.0,25.5,25.5,0.0,"ABSORB",31.05
"Crisis (+50%)",8.25,6.30,"BEER-001015","Demo Beer Product #15","BEER",31.05,23.14,26.80,15.8,25.5,13.7,11.8,"PARTIAL_PASS_THROUGH",33.25
"Moderate (+15%)",6.33,4.83,"BEER-001015","Demo Beer Product #15","BEER",31.05,23.14,24.24,4.8,25.5,21.9,3.6,"ABSORB",31.05
"Extreme (+75%)",9.63,7.35,"BEER-001015","Demo Beer Product #15","BEER",31.05,23.14,28.63,23.8,25.5,7.8,17.7,"FULL_REPRICE",35.72
"High Stress (+30%)",7.15,5.46,"BEER-001015","Demo Beer Product #15","BEER",31.05,23.14,25.33,9.5,25.5,18.4,7.1,"PARTIAL_PASS_THROUGH",32.37
"Baseline",5.50,4.20,"BEER-001016","Demo Beer Product #16","BEER",32.91,21.73,21.73,0.0,34.0,34.0,0.0,"ABSORB",32.91
"Crisis (+50%)",8.25,6.30,"BEER-001016","Demo Beer Product #16","BEER",32.91,21.73,25.51,17.4,34.0,22.5,11.5,"PARTIAL_PASS_THROUGH",35.18
"Moderate (+15%)",6.33,4.83,"BEER-001016","Demo Beer Product #16","BEER",32.91,21.73,22.87,5.2,34.0,30.5,3.5,"ABSORB",32.91
"Extreme (+75%)",9.63,7.35,"BEER-001016","Demo Beer Product #16","BEER",32.91,21.73,27.41,26.1,34.0,16.7,17.2,"FULL_REPRICE",37.73
"High Stress (+30%)",7.15,5.46,"BEER-001016","Demo Beer Product #16","BEER",32.91,21.73,24.00,10.4,34.0,27.1,6.9,"PARTIAL_PASS_THROUGH",34.27
"Baseline",5.50,4.20,"BEER-001017","Demo Beer Product #17","BEER",36.52,22.75,22.75,0.0,37.7,37.7,0.0,"ABSORB",36.52
"Crisis (+50%)",8.25,6.30,"BEER-001017","Demo Beer Product #17","BEER",36.52,22.75,26.52,16.6,37.7,27.4,10.3,"PARTIAL_PASS_THROUGH",38.78
"Moderate (+15%)",6.33,4.83,"BEER-001017","Demo Beer Product #17","BEER",36.52,22.75,23.88,5.0,37.7,34.6,3.1,"ABSORB",36.52
"Extreme (+75%)",9.63,7.35,"BEER-001017","Demo Beer Product #17","BEER",36.52,22.75,28.40,24.9,37.7,22.2,15.5,"FULL_REPRICE",41.33
"High Stress (+30%)",7.15,5.46,"BEER-001017","Demo Beer Product #17","BEER",36.52,22.75,25.01,9.9,37.7,31.5,6.2,"PARTIAL_PASS_THROUGH",37.88
"Baseline",5.50,4.20,"BEER-001018","Demo Beer Product #18","BEER",32.73,24.04,24.04,0.0,26.6,26.6,0.0,"ABSORB",32.73
"Crisis (+50%)",8.25,6.30,"BEER-001018","Demo Beer Product #18","BEER",32.73,24.04,28.00,16.5,26.6,14.4,12.1,"PARTIAL_PASS_THROUGH",35.11
"Moderate (+15%)",6.33,4.83,"BEER-001018","Demo Beer Product #18","BEER",32.73,24.04,25.23,5.0,26.6,22.9,3.6,"ABSORB",32.73
"Extreme (+75%)",9.63,7.35,"BEER-001018","Demo Beer Product #18","BEER",32.73,24.04,29.99,24.8,26.6,8.4,18.2,"FULL_REPRICE",37.79
"High Stress (+30%)",7.15,5.46,"BEER-001018","Demo Beer Product #18","BEER",32.73,24.04,26.42,9.9,26.6,19.3,7.3,"PARTIAL_PASS_THROUGH",34.16
"Baseline",5.50,4.20,"BEER-001019","Demo Beer Product #19","BEER",33.77,24.25,24.25,0.0,28.2,28.2,0.0,"ABSORB",33.77
"Crisis (+50%)",8.25,6.30,"BEER-001019","Demo Beer Product #19","BEER",33.77,24.25,28.41,17.2,28.2,15.9,12.3,"PARTIAL_PASS_THROUGH",36.27
"Moderate (+15%)",6.33,4.83,"BEER-001019","Demo Beer Product #19","BEER",33.77,24.25,25.50,5.2,28.2,24.5,3.7,"ABSORB",33.77
"Extreme (+75%)",9.63,7.35,"BEER-001019","Demo Beer Product #19","BEER",33.77,24.25,30.50,25.8,28.2,9.7,18.5,"FULL_REPRICE",39.09
"High Stress (+30%)",7.15,5.46,"BEER-001019","Demo Beer Product #19","BEER",33.77,24.25,26.75,10.3,28.2,20.8,7.4,"PARTIAL_PASS_THROUGH",35.27
"Baseline",5.50,4.20,"BEER-001020","Demo Beer Product #20","BEER",31.64,24.46,24.46,0.0,22.7,22.7,0.0,"ABSORB",31.64
"Crisis (+50%)",8.25,6.30,"BEER-001020","Demo Beer Product #20","BEER",31.64,24.46,28.35,15.9,22.7,10.4,12.3,"PARTIAL_PASS_THROUGH",33.98
"Moderate (+15%)",6.33,4.83,"BEER-001020","Demo Beer Product #20","BEER",31.64,24.46,25.63,4.8,22.7,19.0,3.7,"ABSORB",31.64
"Extreme (+75%)",9.63,7.35,"BEER-001020","Demo Beer Product #20","BEER",31.64,24.46,30.31,23.9,22.7,4.2,18.5,"FULL_REPRICE",36.61
"High Stress (+30%)",7.15,5.46,"BEER-001020","Demo Beer Product #20","BEER",31.64,24.46,26.79,9.6,22.7,15.3,7.4,"PARTIAL_PASS_THROUGH",33.04
"Baseline",5.50,4.20,"BEER-001021","Demo Beer Product #21","BEER",36.42,22.08,22.08,0.0,39.4,39.4,0.0,"ABSORB",36.42
"Crisis (+50%)",8.25,6.30,"BEER-001021","Demo Beer Product #21","BEER",36.42,22.08,26.03,17.9,39.4,28.5,10.8,"PARTIAL_PASS_THROUGH",38.79
"Moderate (+15%)",6.33,4.83,"BEER-001021","Demo Beer Product #21","BEER",36.42,22.08,23.27,5.4,39.4,36.1,3.3,"ABSORB",36.42
"Extreme (+75%)",9.63,7.35,"BEER-001021","Demo Beer Product #21","BEER",36.42,22.08,28.00,26.8,39.4,23.1,16.3,"FULL_REPRICE",41.45
"High Stress (+30%)",7.15,5.46,"BEER-001021","Demo Beer Product #21","BEER",36.42,22.08,24.45,10.7,39.4,32.9,6.5,"PARTIAL_PASS_THROUGH",37.84
"Baseline",5.50,4.20,"BEER-001022","Demo Beer Product #22","BEER",37.90,22.45,22.45,0.0,40.8,40.8,0.0,"ABSORB",37.90
"Crisis (+50%)",8.25,6.30,"BEER-001022","Demo Beer Product #22","BEER",37.90,22.45,25.88,15.3,40.8,31.7,9.0,"PARTIAL_PASS_THROUGH",39.96
"Moderate (+15%)",6.33,4.83,"BEER-001022","Demo Beer Product #22","BEER",37.90,22.45,23.48,4.6,40.8,38.0,2.7,"ABSORB",37.90
"Extreme (+75%)",9.63,7.35,"BEER-001022","Demo Beer Product #22","BEER",37.90,22.45,27.60,22.9,40.8,27.2,13.6,"FULL_REPRICE",42.28
"High Stress (+30%)",7.15,5.46,"BEER-001022","Demo Beer Product #22","BEER",37.90,22.45,24.51,9.2,40.8,35.3,5.4,"PARTIAL_PASS_THROUGH",39.13
"Baseline",5.50,4.20,"BEER-001023","Demo Beer Product #23","BEER",35.18,22.63,22.63,0.0,35.7,35.7,0.0,"ABSORB",35.18
"Crisis (+50%)",8.25,6.30,"BEER-001023","Demo Beer Product #23","BEER",35.18,22.63,26.90,18.9,35.7,23.5,12.1,"FULL_REPRICE",38.81
"Moderate (+15%)",6.33,4.83,"BEER-001023","Demo Beer Product #23","BEER",35.18,22.63,23.92,5.7,35.7,32.0,3.7,"ABSORB",35.18
"Extreme (+75%)",9.63,7.35,"BEER-001023","Demo Beer Product #23","BEER",35.18,22.63,29.04,28.3,35.7,17.5,18.2,"FULL_REPRICE",40.63
"High Stress (+30%)",7.15,5.46,"BEER-001023","Demo Beer Product #23","BEER",35.18,22.63,25.19,11.3,35.7,28.4,7.3,"PARTIAL_PASS_THROUGH",36.72
"Baseline",5.50,4.20,"BEER-001024","Demo Beer Product #24","BEER",34.24,21.68,21.68,0.0,36.7,36.7,0.0,"ABSORB",34.24
"Crisis (+50%)",8.25,6.30,"BEER-001024","Demo Beer Product #24","BEER",34.24,21.68,25.15,16.0,36.7,26.6,10.1,"PARTIAL_PASS_THROUGH",36.32
"Moderate (+15%)",6.33,4.83,"BEER-001024","Demo Beer Product #24","BEER",34.24,21.68,22.72,4.8,36.7,33.6,3.1,"ABSORB",34.24
"Extreme (+75%)",9.63,7.35,"BEER-001024","Demo Beer Product #24","BEER",34.24,21.68,26.89,24.0,36.7,21.5,15.2,"FULL_REPRICE",38.67
"High Stress (+30%)",7.15,5.46,"BEER-001024","Demo Beer Product #24","BEER",34.24,21.68,23.76,9.6,36.7,30.6,6.1,"PARTIAL_PASS_THROUGH",35.49
"Baseline",5.50,4.20,"BEER-001025","Demo Beer Product #25","BEER",37.65,24.74,24.74,0.0,34.3,34.3,0.0,"ABSORB",37.65
"Crisis (+50%)",8.25,6.30,"BEER-001025","Demo Beer Product #25","BEER",37.65,24.74,28.69,16.0,34.3,23.8,10.5,"PARTIAL_PASS_THROUGH",40.02
"Moderate (+15%)",6.33,4.83,"BEER-001025","Demo Beer Product #25","BEER",37.65,24.74,25.93,4.8,34.3,31.1,3.2,"ABSORB",37.65
"Extreme (+75%)",9.63,7.35,"BEER-001025","Demo Beer Product #25","BEER",37.65,24.74,30.68,24.0,34.3,18.5,15.8,"FULL_REPRICE",42.70
"High Stress (+30%)",7.15,5.46,"BEER-001025","Demo Beer Product #25","BEER",37.65,24.74,27.11,9.6,34.3,28.0,6.3,"PARTIAL_PASS_THROUGH",39.07
"Baseline",5.50,4.20,"BEER-001026","Demo Beer Product #26","BEER",33.00,21.17,21.17,0.0,35.8,35.8,0.0,"ABSORB",33.00
"Crisis (+50%)",8.25,6.30,"BEER-001026","Demo Beer Product #26","BEER",33.00,21.17,24.58,16.1,35.8,25.5,10.3,"PARTIAL_PASS_THROUGH",35.04
"Moderate (+15%)",6.33,4.83,"BEER-001026","Demo Beer Product #26","BEER",33.00,21.17,22.20,4.8,35.8,32.7,3.1,"ABSORB",33.00
"Extreme (+75%)",9.63,7.35,"BEER-001026","Demo Beer Product #26","BEER",33.00,21.17,26.28,24.1,35.8,20.4,15.5,"FULL_REPRICE",37.34
"High Stress (+30%)",7.15,5.46,"BEER-001026","Demo Beer Product #26","BEER",33.00,21.17,23.22,9.6,35.8,29.7,6.2,"PARTIAL_PASS_THROUGH",34.22
"Baseline",5.50,4.20,"BEER-001027","Demo Beer Product #27","BEER",32.60,23.26,23.26,0.0,28.6,28.6,0.0,"ABSORB",32.60
"Crisis (+50%)",8.25,6.30,"BEER-001027","Demo Beer Product #27","BEER",32.60,23.26,27.12,16.6,28.6,16.8,11.8,"PARTIAL_PASS_THROUGH",34.91
"Moderate (+15%)",6.33,4.83,"BEER-001027","Demo Beer Product #27","BEER",32.60,23.26,24.42,5.0,28.6,25.1,3.6,"ABSORB",32.60
"Extreme (+75%)",9.63,7.35,"BEER-001027","Demo Beer Product #27","BEER",32.60,23.26,29.05,24.9,28.6,10.9,17.8,"FULL_REPRICE",37.52
"High Stress (+30%)",7.15,5.46,"BEER-001027","Demo Beer Product #27","BEER",32.60,23.26,25.58,9.9,28.6,21.5,7.1,"PARTIAL_PASS_THROUGH",33.99
"Baseline",5.50,4.20,"BEER-001028","Demo Beer Product #28","BEER",31.36,24.30,24.30,0.0,22.5,22.5,0.0,"ABSORB",31.36
"Crisis (+50%)",8.25,6.30,"BEER-001028","Demo Beer Product #28","BEER",31.36,24.30,27.97,15.1,22.5,10.8,11.7,"PARTIAL_PASS_THROUGH",33.56
"Moderate (+15%)",6.33,4.83,"BEER-001028","Demo Beer Product #28","BEER",31.36,24.30,25.41,4.5,22.5,19.0,3.5,"ABSORB",31.36
"Extreme (+75%)",9.63,7.35,"BEER-001028","Demo Beer Product #28","BEER",31.36,24.30,29.80,22.6,22.5,5.0,17.5,"FULL_REPRICE",36.04
"High Stress (+30%)",7.15,5.46,"BEER-001028","Demo Beer Product #28","BEER",31.36,24.30,26.50,9.1,22.5,15.5,7.0,"PARTIAL_PASS_THROUGH",32.68
"Baseline",5.50,4.20,"BEER-001029","Demo Beer Product #29","BEER",31.16,22.71,22.71,0.0,27.1,27.1,0.0,"ABSORB",31.16
"Crisis (+50%)",8.25,6.30,"BEER-001029","Demo Beer Product #29","BEER",31.16,22.71,26.14,15.1,27.1,16.1,11.0,"PARTIAL_PASS_THROUGH",33.22
"Moderate (+15%)",6.33,4.83,"BEER-001029","Demo Beer Product #29","BEER",31.16,22.71,23.74,4.6,27.1,23.8,3.3,"ABSORB",31.16
"Extreme (+75%)",9.63,7.35,"BEER-001029","Demo Beer Product #29","BEER",31.16,22.71,27.87,22.7,27.1,10.6,16.6,"FULL_REPRICE",35.55
"High Stress (+30%)",7.15,5.46,"BEER-001029","Demo Beer Product #29","BEER",31.16,22.71,24.77,9.1,27.1,20.5,6.6,"PARTIAL_PASS_THROUGH",32.40
"Baseline",5.50,4.20,"BEER-001030","Demo Beer Product #30","BEER",36.81,22.99,22.99,0.0,37.6,37.6,0.0,"ABSORB",36.81
"Crisis (+50%)",8.25,6.30,"BEER-001030","Demo Beer Product #30","BEER",36.81,22.99,26.43,15.0,37.6,28.2,9.4,"PARTIAL_PASS_THROUGH",38.88
"Moderate (+15%)",6.33,4.83,"BEER-001030","Demo Beer Product #30","BEER",36.81,22.99,24.02,4.5,37.6,34.7,2.8,"ABSORB",36.81
"Extreme (+75%)",9.63,7.35,"BEER-001030","Demo Beer Product #30","BEER",36.81,22.99,28.15,22.5,37.6,23.5,14.0,"FULL_REPRICE",41.20
"High Stress (+30%)",7.15,5.46,"BEER-001030","Demo Beer Product #30","BEER",36.81,22.99,25.05,9.0,37.6,31.9,5.6,"PARTIAL_PASS_THROUGH",38.05
"Baseline",5.50,4.20,"BEER-001031","Demo Beer Product #31","BEER",33.74,22.80,22.80,0.0,32.4,32.4,0.0,"ABSORB",33.74
"Crisis (+50%)",8.25,6.30,"BEER-001031","Demo Beer Product #31","BEER",33.74,22.80,26.41,15.9,32.4,21.7,10.7,"PARTIAL_PASS_THROUGH",35.91
"Moderate (+15%)",6.33,4.83,"BEER-001031","Demo Beer Product #31","BEER",33.74,22.80,23.89,4.8,32.4,29.2,3.2,"ABSORB",33.74
