"WEEK_NUM","WEEK_START_DATE","DC_ID","DC_NAME","CITY","STATE","LATITUDE","LONGITUDE","ON_HAND_UNITS","WEEKLY_DEMAND_UNITS","INBOUND_SUPPLY_TONS","AVG_SUPPLY_DISRUPTION","AVG_LEAD_DAYS","DAYS_OF_SUPPLY","SAFETY_STOCK_THRESHOLD","RISK_STATUS"
47,"2025-08-25","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,20101,1013,24.9,0.35,1,134.6,2533,"AT_RISK"
16,"2025-01-20","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,27194,568,18,0.45,3,341.2,1420,"CRITICAL"
101,"2026-09-07","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,42518,1490,23,0,2,204.7,3725,"NORMAL"
97,"2026-08-10","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,45115,1910,24,0,1,173.6,4775,"NORMAL"
2,"2024-10-14","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,27392,980,19.8,0.25,3,218.4,2450,"AT_RISK"
67,"2026-01-12","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,55211,1205,23,0,2,316.3,3013,"NORMAL"
70,"2026-02-02","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,58543,1287,22,0,2,300.5,3218,"NORMAL"
15,"2025-01-13","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,30167,821,20.7,0.25,5,284.5,2053,"AT_RISK"
37,"2025-06-16","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,29977,1375,11.7,0.25,5,178.1,3438,"AT_RISK"
55,"2025-10-20","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,27853,711,16,0.15,2,259.4,1778,"ELEVATED"
4,"2024-10-28","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,39672,1136,15.3,0.25,1,242.8,2840,"AT_RISK"
12,"2024-12-23","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,42124,989,20.7,0.25,2,309.2,2473,"AT_RISK"
54,"2025-10-13","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,30196,973,13.2,0.15,3,226.3,2433,"ELEVATED"
80,"2026-04-13","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,41238,1125,11,0,3,280.5,2813,"NORMAL"
82,"2026-04-27","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,44566,1231,27,0,3,237.1,3078,"NORMAL"
79,"2026-04-06","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,52112,1573,20.4,0.18,2,229.2,3933,"ELEVATED"
53,"2025-10-06","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,23885,1008,17.6,0.5,6,166.9,2520,"CRITICAL"
37,"2025-06-16","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,20542,1168,21.6,0.25,1,130.3,2920,"AT_RISK"
58,"2025-11-10","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,36316,918,17,0,3,271.7,2295,"NORMAL"
22,"2025-03-03","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,31648,666,25.5,0.3,3,344.3,1665,"AT_RISK"
75,"2026-03-09","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,28952,843,26,0.18,1,229.5,2108,"ELEVATED"
77,"2026-03-23","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,43719,1048,11,0,4,309.8,2620,"NORMAL"
52,"2025-09-29","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,42242,1536,17.9,0.15,1,182.1,3840,"ELEVATED"
69,"2026-01-26","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,33595,644,25,0,2,378.1,1610,"NORMAL"
104,"2026-09-28","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,22198,987,27,0,1,171.9,2468,"NORMAL"
36,"2025-06-09","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,22977,1146,15.3,0.25,1,154.8,2865,"AT_RISK"
26,"2025-03-31","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,32100,754,15.8,0.3,3,297,1885,"AT_RISK"
40,"2025-07-07","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,45671,1703,14.1,0.15,1,178.5,4258,"ELEVATED"
26,"2025-03-31","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,49431,1488,22.9,0.3,1,230.4,3720,"AT_RISK"
6,"2024-11-11","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,25686,645,13.5,0.25,2,261.8,1613,"AT_RISK"
20,"2025-02-17","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,42213,1046,16.4,0.45,1,278.6,2615,"CRITICAL"
67,"2026-01-12","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,31758,617,18,0,2,393.7,1543,"NORMAL"
31,"2025-05-05","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,27682,854,10.9,0.4,3,252.1,2135,"CRITICAL"
80,"2026-04-13","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,42006,1215,20,0,3,246.1,3038,"NORMAL"
41,"2025-07-14","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,33662,1383,13.2,0.15,3,152.3,3458,"ELEVATED"
79,"2026-04-06","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,23697,963,13,0.18,2,178.3,2408,"ELEVATED"
84,"2026-05-11","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,27468,1087,21.3,0.18,2,160.9,2718,"ELEVATED"
74,"2026-03-02","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,35016,685,27.8,0.18,3,351,1713,"ELEVATED"
34,"2025-05-26","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,31926,921,11.7,0.25,2,230.2,2303,"AT_RISK"
14,"2025-01-06","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,28385,559,19.4,0.3,2,334.1,1398,"AT_RISK"
73,"2026-02-23","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,35149,673,13,0,2,377.9,1683,"NORMAL"
72,"2026-02-16","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,42692,891,10,0,4,315.9,2228,"NORMAL"
43,"2025-07-28","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,33760,1374,16,0.15,3,172.1,3435,"ELEVATED"
8,"2024-11-25","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,29611,853,9.9,0.25,4,219.2,2133,"AT_RISK"
44,"2025-08-04","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,21574,1155,22.6,0.15,2,117.8,2888,"ELEVATED"
34,"2025-05-26","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,25728,1117,14.4,0.25,1,149.1,2793,"AT_RISK"
92,"2026-07-06","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,29534,985,29,0,2,217.4,2463,"NORMAL"
104,"2026-09-28","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,29435,804,12,0,3,249.7,2010,"NORMAL"
101,"2026-09-07","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,28421,863,26,0,2,255.8,2158,"NORMAL"
25,"2025-03-24","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,39228,1001,12.6,0.25,5,267.2,2503,"AT_RISK"
101,"2026-09-07","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,35069,1189,13,0,3,220.4,2973,"NORMAL"
82,"2026-04-27","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,40345,1248,14,0,3,232.2,3120,"NORMAL"
64,"2025-12-22","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,34243,619,27,0,2,341.3,1548,"NORMAL"
43,"2025-07-28","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,23001,1146,16,0.15,1,119.7,2865,"ELEVATED"
31,"2025-05-05","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,35945,1166,22.5,0.25,5,209.1,2915,"AT_RISK"
18,"2025-02-03","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,48126,1193,25.5,0.3,1,270.8,2983,"AT_RISK"
39,"2025-06-30","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,44532,1611,10.8,0.25,2,178.5,4028,"AT_RISK"
37,"2025-06-16","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,31603,960,11.7,0.25,3,223.1,2400,"AT_RISK"
30,"2025-04-28","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40015,1128,9.9,0.25,3,246.4,2820,"AT_RISK"
22,"2025-03-03","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40541,888,16.2,0.25,4,294.7,2220,"AT_RISK"
6,"2024-11-11","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,40577,1271,13.5,0.25,1,214.1,3178,"AT_RISK"
42,"2025-07-21","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,20911,1169,19.7,0.15,1,119.5,2923,"ELEVATED"
62,"2025-12-08","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,24502,739,26,0,1,234.2,1848,"NORMAL"
7,"2024-11-18","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,22039,617,23.8,0.3,4,282.7,1543,"AT_RISK"
22,"2025-03-03","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,25848,817,24.3,0.25,1,234.4,2043,"AT_RISK"
12,"2024-12-23","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,26957,567,13.2,0.3,3,336.4,1418,"AT_RISK"
19,"2025-02-10","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,43602,1012,13.9,0.45,1,288.6,2530,"CRITICAL"
40,"2025-07-07","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,33155,1294,25.4,0.15,3,196.7,3235,"ELEVATED"
27,"2025-04-07","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40758,1046,26.1,0.25,5,251.5,2615,"AT_RISK"
8,"2024-11-25","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,25141,752,20.3,0.55,5,252.6,1880,"CRITICAL"
43,"2025-07-28","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,47331,1883,24.4,0.15,1,174,4708,"ELEVATED"
46,"2025-08-18","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,18212,1044,18.9,0.35,2,130.3,2610,"AT_RISK"
73,"2026-02-23","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,28893,834,29,0,2,227.4,2085,"NORMAL"
14,"2025-01-06","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,25104,699,18.9,0.25,1,237.3,1748,"AT_RISK"
70,"2026-02-02","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,36964,897,25,0,3,289.7,2243,"NORMAL"
18,"2025-02-03","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,27029,570,10.7,0.45,3,306.2,1425,"CRITICAL"
84,"2026-05-11","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,32119,895,22.3,0.18,2,262,2238,"ELEVATED"
75,"2026-03-09","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,53142,1241,23,0,1,296.7,3103,"NORMAL"
21,"2025-02-24","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,50043,1121,9.9,0.25,1,305.7,2803,"AT_RISK"
69,"2026-01-26","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,41199,833,17,0,3,328.7,2083,"NORMAL"
32,"2025-05-12","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,34972,1182,15.3,0.25,3,233.4,2955,"AT_RISK"
91,"2026-06-29","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,29472,971,25.1,0.18,2,199,2428,"ELEVATED"
9,"2024-12-02","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,38760,1012,17.1,0.25,2,260.4,2530,"AT_RISK"
24,"2025-03-17","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,48107,1213,20.7,0.25,1,269.1,3033,"AT_RISK"
68,"2026-01-19","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,39514,837,26,0,3,356.5,2093,"NORMAL"
17,"2025-01-27","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,21313,702,9.9,0.25,1,245.6,1755,"AT_RISK"
16,"2025-01-20","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,35025,771,16.2,0.25,3,298.1,1928,"AT_RISK"
12,"2024-12-23","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,31784,780,14.4,0.25,3,323.7,1950,"AT_RISK"
10,"2024-12-09","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,27344,830,18.9,0.25,5,248,2075,"AT_RISK"
32,"2025-05-12","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,30874,852,16,0.4,3,227.3,2130,"CRITICAL"
33,"2025-05-19","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,28129,886,13.4,0.4,3,232.7,2215,"CRITICAL"
86,"2026-05-25","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,52508,1652,12,0,1,212.6,4130,"NORMAL"
14,"2025-01-06","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,47102,1127,19.4,0.3,1,263.4,2818,"AT_RISK"
86,"2026-05-25","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,52595,1874,25.1,0.18,1,179.7,4685,"ELEVATED"
100,"2026-08-31","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,28398,1244,24.8,0.12,3,167,3110,"ELEVATED"
32,"2025-05-12","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,43410,1471,23.5,0.4,2,212.1,3678,"CRITICAL"
67,"2026-01-12","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,51653,1051,19,0,1,317.8,2628,"NORMAL"
43,"2025-07-28","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,25902,948,28.2,0.15,2,211.9,2370,"ELEVATED"
62,"2025-12-08","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,34410,825,25,0,4,331.7,2063,"NORMAL"
3,"2024-10-21","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,24494,979,14.4,0.25,5,190.2,2448,"AT_RISK"
22,"2025-03-03","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,35428,973,9.9,0.25,3,235,2433,"AT_RISK"
11,"2024-12-16","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,18790,698,16.2,0.25,1,225,1745,"AT_RISK"
57,"2025-11-03","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,26171,839,24,0,1,208.7,2098,"NORMAL"
83,"2026-05-04","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40983,1258,27,0,3,228.5,3145,"NORMAL"
62,"2025-12-08","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,34011,886,15,0,3,259.9,2215,"NORMAL"
19,"2025-02-10","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,33169,875,16.2,0.25,5,287.8,2188,"AT_RISK"
38,"2025-06-23","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,21717,1155,12.6,0.25,2,154.3,2888,"AT_RISK"
26,"2025-03-31","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,50121,1315,22.5,0.25,1,250.8,3288,"AT_RISK"
70,"2026-02-02","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,51704,1108,22,0,1,335.4,2770,"NORMAL"
21,"2025-02-24","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,35799,947,23.4,0.25,5,234.5,2368,"AT_RISK"
38,"2025-06-23","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,33640,1343,13.5,0.25,3,153.3,3358,"AT_RISK"
52,"2025-09-29","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,19547,891,11.2,0.35,1,154.6,2228,"AT_RISK"
54,"2025-10-13","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,41148,1287,18.8,0.15,1,207.7,3218,"ELEVATED"
93,"2026-07-13","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,33116,1010,27,0,2,226,2525,"NORMAL"
51,"2025-09-22","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,31621,1065,23.5,0.15,3,212.4,2663,"ELEVATED"
57,"2025-11-03","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,46933,1372,30,0,1,235.1,3430,"NORMAL"
95,"2026-07-27","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,46576,1939,16,0,2,171.9,4848,"NORMAL"
41,"2025-07-14","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,43648,1921,21.6,0.15,1,171.7,4803,"ELEVATED"
36,"2025-06-09","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,46311,1904,21.6,0.25,2,173.5,4760,"AT_RISK"
16,"2025-01-20","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,25167,711,15.3,0.25,1,239.3,1778,"AT_RISK"
57,"2025-11-03","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,26483,680,16,0,2,280.1,1700,"NORMAL"
74,"2026-03-02","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,43994,968,23,0,4,315.2,2420,"NORMAL"
62,"2025-12-08","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,49567,1205,18,0,1,273.8,3013,"NORMAL"
79,"2026-04-06","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,39999,1188,21,0,4,235.7,2970,"NORMAL"
77,"2026-03-23","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,29602,909,23.2,0.18,1,214.1,2273,"ELEVATED"
71,"2026-02-09","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,55449,1113,25,0,2,334.6,2783,"NORMAL"
56,"2025-10-27","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,29004,908,24.4,0.15,3,242.1,2270,"ELEVATED"
13,"2024-12-30","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,45518,1140,16.7,0.3,1,269.2,2850,"AT_RISK"
7,"2024-11-18","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,42326,1199,15.8,0.3,2,226.1,2998,"AT_RISK"
92,"2026-07-06","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,22575,1190,20,0.12,2,123.7,2975,"ELEVATED"
64,"2025-12-22","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,37360,803,10,0,3,350.4,2008,"NORMAL"
91,"2026-06-29","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,40171,1366,18,0,3,203.2,3415,"NORMAL"
8,"2024-11-25","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,40395,1183,13.2,0.3,2,230,2958,"AT_RISK"
51,"2025-09-22","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,24130,1070,19.2,0.5,4,131.5,2675,"CRITICAL"
2,"2024-10-14","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,36601,1220,16.2,0.25,2,222.9,3050,"AT_RISK"
61,"2025-12-01","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,24406,760,13,0,1,198.7,1900,"NORMAL"
40,"2025-07-07","DC-SEA","Seattle Distribution Center","Seattle","WA",47.6062,-122.3321,21112,1185,16.9,0.15,1,152,2963,"ELEVATED"
56,"2025-10-27","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,38197,1160,13.2,0.15,1,248.1,2900,"ELEVATED"
44,"2025-08-04","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,35111,1249,19.7,0.15,4,192.7,3123,"ELEVATED"
53,"2025-10-06","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,32931,990,18.8,0.15,3,228.7,2475,"ELEVATED"
90,"2026-06-22","DC-ATL","Atlanta Distribution Center","Atlanta","GA",33.7537,-84.3863,41943,1353,25,0,3,208.3,3383,"NORMAL"
82,"2026-04-27","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,32917,859,26,0.18,3,271,2148,"ELEVATED"
52,"2025-09-29","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,28120,774,19.7,0.15,2,208.6,1935,"ELEVATED"
102,"2026-09-14","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,30146,852,27,0,3,258.2,2130,"NORMAL"
47,"2025-08-25","DC-TOR","Toronto Distribution Center","Toronto","ON",43.6532,-79.3832,28274,893,11.3,0.15,2,197.1,2233,"ELEVATED"
89,"2026-06-15","DC-CHI","Chicago Distribution Center","Chicago","IL",41.8525,-87.6514,46500,1661,15.2,0.12,1,203.9,4153,"ELEVATED"
17,"2025-01-27","DC-NYC","New York Distribution Center","Brooklyn","NY",40.6501,-74.0139,43710,1167,24.6,0.3,1,295.3,2918,"AT_RISK"
58,"2025-11-10","DC-DAL","Dallas Distribution Center","Dallas","TX",32.7767,-96.797,32062,961,27,0,4,228.9,2403,"NORMAL"
