"DIM_PRODUCT_MASTER_KEY","PRODUCT_ID","MATERIAL_TYPE","MATERIAL_GROUP","BASE_UNIT_OF_MEASURE","PRODUCT_DESCRIPTION"
51,"BEER-001050","FERT","BEER","CS","Demo Beer Product #50"
52,"BEER-001051","FERT","BEER","CS","Demo Beer Product #51"
53,"BEER-001052","FERT","BEER","CS","Demo Beer Product #52"
54,"BEER-001053","FERT","BEER","CS","Demo Beer Product #53"
55,"BEER-001054","FERT","BEER","CS","Demo Beer Product #54"
56,"BEER-001055","FERT","BEER","CS","Demo Beer Product #55"
57,"BEER-001056","FERT","BEER","CS","Demo Beer Product #56"
58,"BEER-001057","FERT","BEER","CS","Demo Beer Product #57"
59,"BEER-001058","FERT","BEER","CS","Demo Beer Product #58"
60,"BEER-001059","FERT","BEER","CS","Demo Beer Product #59"
61,"BEER-001060","FERT","BEER","CS","Demo Beer Product #60"
62,"BEER-001061","FERT","BEER","CS","Demo Beer Product #61"
63,"BEER-001062","FERT","BEER","CS","Demo Beer Product #62"
64,"BEER-001063","FERT","BEER","CS","Demo Beer Product #63"
65,"BEER-001064","FERT","BEER","CS","Demo Beer Product #64"
66,"BEER-001065","FERT","BEER","CS","Demo Beer Product #65"
67,"BEER-001066","FERT","BEER","CS","Demo Beer Product #66"
68,"BEER-001067","FERT","BEER","CS","Demo Beer Product #67"
69,"BEER-001068","FERT","BEER","CS","Demo Beer Product #68"
70,"BEER-001069","FERT","BEER","CS","Demo Beer Product #69"
71,"BEER-001070","FERT","BEER","CS","Demo Beer Product #70"
72,"BEER-001071","FERT","BEER","CS","Demo Beer Product #71"
73,"BEER-001072","FERT","BEER","CS","Demo Beer Product #72"
74,"BEER-001073","FERT","BEER","CS","Demo Beer Product #73"
75,"BEER-001074","FERT","BEER","CS","Demo Beer Product #74"
76,"BEER-001075","FERT","BEER","CS","Demo Beer Product #75"
77,"BEER-001076","FERT","BEER","CS","Demo Beer Product #76"
78,"BEER-001077","FERT","BEER","CS","Demo Beer Product #77"
79,"BEER-001078","FERT","BEER","CS","Demo Beer Product #78"
80,"BEER-001079","FERT","BEER","CS","Demo Beer Product #79"
81,"BEER-001080","FERT","BEER","CS","Demo Beer Product #80"
82,"BEER-001081","FERT","BEER","CS","Demo Beer Product #81"
83,"BEER-001082","FERT","BEER","CS","Demo Beer Product #82"
84,"BEER-001083","FERT","BEER","CS","Demo Beer Product #83"
85,"BEER-001084","FERT","BEER","CS","Demo Beer Product #84"
86,"BEER-001085","FERT","BEER","CS","Demo Beer Product #85"
87,"BEER-001086","FERT","BEER","CS","Demo Beer Product #86"
88,"BEER-001087","FERT","BEER","CS","Demo Beer Product #87"
89,"BEER-001088","FERT","BEER","CS","Demo Beer Product #88"
90,"BEER-001089","FERT","BEER","CS","Demo Beer Product #89"
91,"BEER-001090","FERT","BEER","CS","Demo Beer Product #90"
92,"BEER-001091","FERT","BEER","CS","Demo Beer Product #91"
93,"BEER-001092","FERT","BEER","CS","Demo Beer Product #92"
94,"BEER-001093","FERT","BEER","CS","Demo Beer Product #93"
95,"BEER-001094","FERT","BEER","CS","Demo Beer Product #94"
96,"BEER-001095","FERT","BEER","CS","Demo Beer Product #95"
97,"BEER-001096","FERT","BEER","CS","Demo Beer Product #96"
98,"BEER-001097","FERT","BEER","CS","Demo Beer Product #97"
99,"BEER-001098","FERT","BEER","CS","Demo Beer Product #98"
100,"BEER-001099","FERT","BEER","CS","Demo Beer Product #99"
