"PRODUCT_ID","PLANT","STORAGE_LOCATION","ON_HAND_STOCK"
"BEER-001096","NY01","RECV",182.000
"BEER-001018","ON01","RECV",155.000
"BEER-001022","NY01","RECV",80.000
"BEER-001022","ON01","RECV",136.000
"BEER-001025","NY01","RECV",189.000
"BEER-001060","ON01","RECV",125.000
"BEER-001076","IL01","RECV",184.000
"BEER-001011","ON01","RECV",65.000
"BEER-001017","NY01","RECV",139.000
"BEER-001028","IL01","RECV",88.000
"BEER-001037","NY01","RECV",158.000
"BEER-001063","NY01","RECV",129.000
"BEER-001069","NY01","RECV",137.000
"BEER-001085","NY01","RECV",121.000
"BEER-001029","ON01","RECV",114.000
"BEER-001083","NY01","RECV",155.000
"BEER-001087","ON01","RECV",174.000
"BEER-001092","ON01","RECV",192.000
"BEER-001096","IL01","RECV",175.000
"BEER-001098","NY01","RECV",168.000
"BEER-001000","NY01","RECV",186.000
"BEER-001004","IL01","RECV",102.000
"BEER-001022","IL01","RECV",196.000
"BEER-001058","IL01","RECV",100.000
"BEER-001060","IL01","RECV",61.000
"BEER-001009","NY01","RECV",192.000
"BEER-001014","ON01","RECV",187.000
"BEER-001047","ON01","RECV",167.000
"BEER-001062","NY01","RECV",173.000
"BEER-001074","IL01","RECV",68.000
"BEER-001077","NY01","RECV",77.000
"BEER-001079","NY01","RECV",161.000
"BEER-001080","IL01","RECV",163.000
"BEER-001083","IL01","RECV",156.000
"BEER-001084","ON01","RECV",181.000
"BEER-001090","IL01","RECV",87.000
"BEER-001093","ON01","RECV",103.000
"BEER-001085","IL01","RECV",72.000
"BEER-001090","ON01","RECV",56.000
"BEER-001096","ON01","RECV",53.000
"BEER-001002","IL01","RECV",134.000
"BEER-001003","ON01","RECV",95.000
"BEER-001004","NY01","RECV",107.000
"BEER-001015","IL01","RECV",69.000
"BEER-001033","ON01","RECV",154.000
"BEER-001053","NY01","RECV",118.000
"BEER-001071","ON01","RECV",164.000
"BEER-001079","IL01","RECV",140.000
"BEER-001024","IL01","RECV",59.000
"BEER-001025","IL01","RECV",63.000
"BEER-001045","NY01","RECV",137.000
"BEER-001055","IL01","RECV",100.000
"BEER-001077","IL01","RECV",168.000
"BEER-001092","NY01","RECV",185.000
"BEER-001097","ON01","RECV",112.000
"BEER-001012","ON01","RECV",96.000
"BEER-001005","ON01","RECV",131.000
"BEER-001014","NY01","RECV",149.000
"BEER-001037","IL01","RECV",118.000
"BEER-001038","ON01","RECV",121.000
"BEER-001040","ON01","RECV",69.000
"BEER-001044","ON01","RECV",81.000
"BEER-001054","IL01","RECV",198.000
"BEER-001078","ON01","RECV",145.000
"BEER-001014","IL01","RECV",152.000
"BEER-001019","IL01","RECV",176.000
"BEER-001043","IL01","RECV",186.000
"BEER-001050","IL01","RECV",122.000
"BEER-001061","IL01","RECV",151.000
"BEER-001062","ON01","RECV",152.000
"BEER-001071","IL01","RECV",75.000
"BEER-001085","ON01","RECV",192.000
"BEER-001097","NY01","RECV",172.000
"BEER-001056","NY01","RECV",157.000
"BEER-001064","NY01","RECV",52.000
"BEER-001080","ON01","RECV",100.000
"BEER-001081","NY01","RECV",175.000
"BEER-001089","NY01","RECV",68.000
